,Climate_date,Temp Max (° F),Temp Avg (° F),Temp Min (° F),Dew Max (° F),Dew Avg (° F),Dew Min (° F),Humidity Max (%),Humidity Avg (%),Humidity Min (%),Wind Max (mph),Wind Avg (mph),Wind Min (mph),Pressure Max (Hg),Pressure Avg (Hg),Pressue Min (Hg),Precipation Max (in),Precipation Avg (in),Precipation Min (in),arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Crime_date,Crime_time (CT)
0,2010-01-01,16.0,11.0,5.0,0.0,0.0,0.0,83.0,-,61.0,15.0,-,0.0,0.0,-,0.0,-,0.0,-,False,114,0000X S COLUMBUS DR,JC329823,32,2019-07-01T10:00:00.000,TO VEHICLE,1,True,14,11741987,1320,41.881776822,"{'latitude': '41.881776822', 'longitude': '-87.620767948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.620767948,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,42,1178293,1900315,2019,2019-07-01,10:00:00
1,2010-01-02,11.0,7.0,2.0,0.0,0.0,0.0,80.0,-,52.0,18.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1511,059XX W CHICAGO AVE,JC329789,25,2019-07-01T09:45:00.000,RETAIL THEFT,15,False,06,11741957,0860,41.894730046999996,"{'latitude': '41.894730047', 'longitude': '-87.773957824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SMALL RETAIL STORE,-87.773957824,THEFT,2019-07-08T16:16:04.000,29,1136546,1904726,2019,2019-07-01,09:45:00
2,2010-01-03,18.0,9.0,-1.0,0.0,0.0,0.0,79.0,-,61.0,16.0,-,0.0,0.0,-,0.0,-,0.0,-,False,331,022XX E 70TH PL,JC329733,43,2019-07-01T09:03:00.000,$500 AND UNDER,3,False,06,11741966,0820,41.767117017,"{'latitude': '41.767117017', 'longitude': '-87.570939262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.57093926200001,THEFT,2019-07-08T16:16:04.000,5,1192233,1858650,2019,2019-07-01,09:03:00
3,2010-01-04,18.0,13.0,7.0,0.0,0.0,0.0,80.0,-,67.0,17.0,-,0.0,0.0,-,0.0,-,0.0,-,False,732,073XX S EMERALD AVE,JC329691,68,2019-07-01T08:50:00.000,$500 AND UNDER,7,False,06,11741892,0820,41.760904444,"{'latitude': '41.760904444', 'longitude': '-87.643079554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.643079554,THEFT,2019-07-08T16:16:04.000,6,1172571,1856220,2019,2019-07-01,08:50:00
4,2010-01-05,23.0,18.0,13.0,0.0,0.0,0.0,80.0,-,65.0,16.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1915,040XX N BROADWAY,JC329702,3,2019-07-01T08:30:00.000,SIMPLE,19,False,08A,11741973,0560,41.954977664,"{'latitude': '41.954977664', 'longitude': '-87.650809009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.650809009,ASSAULT,2019-07-08T16:16:04.000,46,1169900,1926923,2019,2019-07-01,08:30:00
5,2010-01-06,20.0,15.0,10.0,0.0,0.0,0.0,84.0,-,67.0,12.0,-,0.0,0.0,-,0.0,-,0.01,-,False,412,083XX S MERRILL AVE,JC329671,46,2019-07-01T08:00:00.000,DOMESTIC BATTERY SIMPLE,4,True,08B,11741939,0486,41.743592971999995,"{'latitude': '41.743592972', 'longitude': '-87.572192317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.572192317,BATTERY,2019-07-08T16:16:04.000,7,1191967,1850075,2019,2019-07-01,08:00:00
6,2010-01-07,22.0,19.0,16.0,0.0,0.0,0.0,92.0,-,80.0,13.0,-,0.0,0.0,-,0.0,-,0.27,-,False,1124,033XX W JACKSON BLVD,JC329659,27,2019-07-01T07:55:00.000,AGGRAVATED: OTHER DANG WEAPON,11,False,04B,11741961,0430,41.87728524,"{'latitude': '41.87728524', 'longitude': '-87.7100751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.7100751,BATTERY,2019-07-08T16:16:04.000,28,1153985,1898489,2019,2019-07-01,07:55:00
7,2010-01-08,27.0,19.0,11.0,0.0,0.0,0.0,92.0,-,67.0,23.0,-,0.0,0.0,-,0.0,-,0.27,-,False,2422,017XX W JARVIS AVE,JC329646,1,2019-07-01T07:50:00.000,TO VEHICLE,24,False,14,11741915,1320,42.015936654,"{'latitude': '42.015936654', 'longitude': '-87.673237887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL YARD (FRONT/BACK),-87.67323788700001,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,49,1163628,1949089,2019,2019-07-01,07:50:00
8,2010-01-09,22.0,14.0,6.0,0.0,0.0,0.0,80.0,-,61.0,15.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2423,016XX W SHERWIN AVE,JC329648,1,2019-07-01T07:50:00.000,OVER $500,24,False,06,11741852,0810,42.01491401,"{'latitude': '42.01491401', 'longitude': '-87.671018481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",-87.671018481,THEFT,2019-07-08T16:16:04.000,49,1164234,1948721,2019,2019-07-01,07:50:00
9,2010-01-10,18.0,9.0,0.0,0.0,0.0,0.0,87.0,-,61.0,24.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1523,002XX N PINE AVE,JC329656,25,2019-07-01T07:45:00.000,TO CITY OF CHICAGO PROPERTY,15,False,14,11741850,1345,41.884856209,"{'latitude': '41.884856209', 'longitude': '-87.763346345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","SCHOOL, PUBLIC, BUILDING",-87.763346345,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,37,1139459,1901147,2019,2019-07-01,07:45:00
