,Community Area Population,Primary Type_ASSAULT,Primary Type_BATTERY,Primary Type_CRIMINAL DAMAGE,Primary Type_NARCOTICS,Primary Type_THEFT,Community Area Name_Albany Park,Community Area Name_Archer Heights,Community Area Name_Armour Square,Community Area Name_Ashburn,Community Area Name_Auburn Gresham,Community Area Name_Austin,Community Area Name_Avalon Park,Community Area Name_Avondale,Community Area Name_Belmont Cragin,Community Area Name_Beverly,Community Area Name_Bridgeport,Community Area Name_Brighton Park,Community Area Name_Burnside,Community Area Name_Calumet Heights,Community Area Name_Chatham,Community Area Name_Chicago Lawn,Community Area Name_Clearing,Community Area Name_Douglas,Community Area Name_Dunning,Community Area Name_East Garfield Park,Community Area Name_East Side,Community Area Name_Edgewater,Community Area Name_Edison Park,Community Area Name_Englewood,Community Area Name_Forest Glen,Community Area Name_Fuller Park,Community Area Name_Gage Park,Community Area Name_Garfield Ridge,Community Area Name_Grand Boulevard,Community Area Name_Greater Grand Crossing,Community Area Name_Hegewisch,Community Area Name_Hermosa,Community Area Name_Humboldt Park,Community Area Name_Hyde Park,Community Area Name_Irving Park,Community Area Name_Jefferson Park,Community Area Name_Kenwood,Community Area Name_Lake View,Community Area Name_Lincoln Park,Community Area Name_Lincoln Square,Community Area Name_Logan Square,Community Area Name_Loop,Community Area Name_Lower West Side,Community Area Name_McKinley Park,Community Area Name_Montclare,Community Area Name_Morgan Park,Community Area Name_Mount Greenwood,Community Area Name_Near North Side,Community Area Name_Near South Side,Community Area Name_Near West Side,Community Area Name_New City,Community Area Name_North Center,Community Area Name_North Lawndale,Community Area Name_North Park,Community Area Name_Norwood Park,Community Area Name_O'Hare,Community Area Name_Oakland,Community Area Name_Portage Park,Community Area Name_Pullman,Community Area Name_Riverdale,Community Area Name_Rogers Park,Community Area Name_Roseland,Community Area Name_South Chicago,Community Area Name_South Deering,Community Area Name_South Lawndale,Community Area Name_South Shore,Community Area Name_Uptown,Community Area Name_Washington Heights,Community Area Name_Washington Park,Community Area Name_West Elsdon,Community Area Name_West Englewood,Community Area Name_West Garfield Park,Community Area Name_West Lawn,Community Area Name_West Pullman,Community Area Name_West Ridge,Community Area Name_West Town,Community Area Name_Woodlawn
27,54991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,54991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,54991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,54991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,54991,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1691,71942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1783,71942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2037,71942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2573,71942,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3114,71942,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3305,56362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3398,56362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3663,56362,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4179,56362,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
