,:@computed_region_43wa_7qmu,:@computed_region_6mkv_f3dw,:@computed_region_awaf_s7ux,:@computed_region_bdys_3d7i,:@computed_region_d3ds_rm58,:@computed_region_d9mm_jgwp,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,arrest,beat,block,case_number,community_area,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Date,Time (CT)
0,38,21869,28,748,48,1,48,13,False,1712,040XX W FOSTER AVE,JC327566,13,RETAIL THEFT,017,False,06,11740074,0860,41.97551745,"{'latitude': '41.97551745', 'longitude': '-87.729569215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GROCERY FOOD STORE,-87.729569215,THEFT,2019-07-05T16:13:31.000,39,1148424,1934247,2019,2019-07-05,16:13:31
1,43,21861,30,570,250,10,19,45,False,0511,0000X E 102ND PL,JC326614,49,TO VEHICLE,005,False,14,11739395,1320,41.708102401,"{'latitude': '41.708102401', 'longitude': '-87.621692958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.621692958,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,9,1178565,1837027,2019,2019-07-05,16:13:31
2,30,4300,6,571,209,13,8,69,False,0833,037XX W PIPPIN ST,JC326621,70,VIOLATE ORDER OF PROTECTION,008,True,26,11739405,4387,41.753576098,"{'latitude': '41.753576098', 'longitude': '-87.717745515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.717745515,OTHER OFFENSE,2019-07-05T16:13:31.000,18,1152219,1853395,2019,2019-07-05,16:13:31
3,23,21569,11,35,146,16,28,30,False,1135,028XX W ROOSEVELT RD,JC326661,29,FORCIBLE ENTRY,011,False,05,11739529,0610,41.866491707,"{'latitude': '41.866491707', 'longitude': '-87.697488213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GROCERY FOOD STORE,-87.697488213,BURGLARY,2019-07-05T16:13:31.000,28,1157442,1894581,2019,2019-07-05,16:13:31
4,13,21554,18,1,236,20,59,40,False,0634,002XX W 87TH ST,JC326617,44,$500 AND UNDER,006,False,06,11739387,0820,41.73614018,"{'latitude': '41.73614018', 'longitude': '-87.62911796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.62911796,THEFT,2019-07-05T16:13:31.000,21,1176454,1847227,2019,2019-07-05,16:13:31
5,37,21202,43,244,234,19,25,42,True,0422,079XX S ESCANABA AVE,JC326634,46,OBSTRUCTING IDENTIFICATION,004,False,24,11739367,3731,41.751369811,"{'latitude': '41.751369811', 'longitude': '-87.554102942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.554102942,INTERFERENCE WITH PUBLIC OFFICER,2019-07-05T16:13:31.000,7,1196878,1852953,2019,2019-07-05,16:13:31
6,31,21554,18,574,231,20,59,70,False,0611,079XX S HERMITAGE AVE,JC326623,71,ATTEMPT FORCIBLE ENTRY,006,False,05,11739404,0630,41.749333301,"{'latitude': '41.749333301', 'longitude': '-87.667056581', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.667056581,BURGLARY,2019-07-05T16:13:31.000,17,1166062,1851952,2019,2019-07-05,16:13:31
7,48,21194,26,376,170,23,40,35,True,0915,034XX S SHIELDS AVE,JC326627,34,DOMESTIC BATTERY SIMPLE,009,False,08B,11739402,0486,41.832260184,"{'latitude': '41.832260184', 'longitude': '-87.635176558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.635176558,BATTERY,2019-07-05T16:13:31.000,11,1174516,1882239,2019,2019-07-05,16:13:31
8,26,14920,48,96,150,15,43,29,False,1233,013XX W 15TH ST,JC326619,28,SIMPLE,012,False,08A,11739464,0560,41.861559271,"{'latitude': '41.861559271', 'longitude': '-87.65976218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHA HALLWAY/STAIRWELL/ELEVATOR,-87.65976218,ASSAULT,2019-07-05T16:13:31.000,25,1167732,1892862,2019,2019-07-05,16:13:31
9,45,22216,11,674,84,25,32,26,False,1523,003XX N PINE AVE,JC326633,25,TO VEHICLE,015,False,14,11739508,1320,41.886544212,"{'latitude': '41.886544212', 'longitude': '-87.76340479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.76340479,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,37,1139439,1901762,2019,2019-07-05,16:13:31
10,10,14913,48,12,144,22,35,38,False,0123,011XX S STATE ST,JC327335,32,TO VEHICLE,001,False,14,11739933,1320,41.868686912,"{'latitude': '41.868686912', 'longitude': '-87.627455831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARKING LOT/GARAGE(NON.RESID.),-87.627455831,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,4,1176511,1895530,2019,2019-07-05,16:13:31
11,33,21192,1,500,122,24,10,8,False,0234,053XX S BLACKSTONE AVE,JC326615,41,$500 AND UNDER,002,False,06,11739424,0820,41.799086635,"{'latitude': '41.799086635', 'longitude': '-87.590427037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.590427037,THEFT,2019-07-05T16:13:31.000,5,1186816,1870253,2019,2019-07-05,16:13:31
12,34,21190,51,744,149,14,16,68,False,1812,021XX N HALSTED ST,JC326613,7,TO PROPERTY,018,False,14,11739354,1310,41.920840201,"{'latitude': '41.920840201', 'longitude': '-87.648604506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.648604506,CRIMINAL DAMAGE,2019-07-05T16:13:31.000,43,1170599,1914488,2019,2019-07-05,16:13:31
13,40,4449,16,712,173,5,22,57,False,1932,030XX N GREENVIEW AVE,JC327121,6,$500 AND UNDER,019,False,06,11739762,0820,41.9373238,"{'latitude': '41.9373238', 'longitude': '-87.666158192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.666158192,THEFT,2019-07-05T16:13:31.000,32,1165775,1920457,2019,2019-07-05,16:13:31
14,36,21182,22,669,73,14,55,37,False,1831,005XX N STATE ST,JC326629,8,RETAIL THEFT,018,False,06,11739434,0860,41.89200307,"{'latitude': '41.89200307', 'longitude': '-87.628076963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GROCERY FOOD STORE,-87.628076963,THEFT,2019-07-05T16:13:31.000,42,1176272,1904025,2019,2019-07-05,16:13:31
15,26,21194,8,3,157,23,40,35,False,0914,004XX W 23RD ST,JC326611,34,ARMED: HANDGUN,009,False,03,11739417,031A,41.850897571,"{'latitude': '41.850897571', 'longitude': '-87.637620301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE PORCH/HALLWAY,-87.637620301,ROBBERY,2019-07-05T16:13:31.000,25,1173795,1889025,2019,2019-07-05,16:13:31
16,5,22528,3,341,35,11,12,20,False,2411,075XX N BELL AVE,JC326601,2,DOMESTIC BATTERY SIMPLE,024,False,08B,11739386,0486,42.018789374,"{'latitude': '42.018789374', 'longitude': '-87.686519164', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.686519164,BATTERY,2019-07-05T16:13:31.000,49,1160011,1950101,2019,2019-07-05,16:13:31
