Date,Temp Max (° F),Temp Avg (° F),Temp Min (° F),Dew Max (° F),Dew Avg (° F),Dew Min (° F),Humidity Max (%),Humidity Avg (%),Humidity Min (%),Wind Max (mph),Wind Avg (mph),Wind Min (mph),Pressure Max (Hg),Pressure Avg (Hg),Pressue Min (Hg),Precipation Max (in),Precipation Avg (in),Precipation Min (in)
1/1/01,23,14,6,14,10,3,92,-,65,13,-,4,30.55,-,30.38,-,0,-
1/2/01,18,12,6,11,6,3,92,-,71,15,-,4,30.67,-,30.39,-,0,-
1/3/01,28,18,8,25,17,1,95,-,73,17,-,6,30.34,-,30.02,-,0,-
1/4/01,30,24,19,25,21,17,96,-,81,20,-,4,30.13,-,29.54,-,0,-
1/5/01,36,30,21,28,24,14,82,-,64,21,-,6,29.88,-,29.52,-,0.02,-
1/6/01,33,26,19,25,19,14,96,-,59,16,-,0,29.88,-,29.63,-,0,-
1/7/01,34,28,21,29,23,15,89,-,64,16,-,5,30.02,-,29.7,-,0,-
1/8/01,26,20,14,17,13,7,84,-,63,14,-,8,30.24,-,30.02,-,0,-
1/9/01,23,16,10,15,11,7,87,-,71,17,-,5,30.35,-,30.2,-,0,-
1/10/01,34,26,19,24,19,13,81,-,61,14,-,5,30.21,-,30.09,-,0,-
1/11/01,39,28,18,29,24,16,92,-,65,9,-,0,30.14,-,30.07,-,0,-
1/12/01,37,31,25,31,29,24,96,-,78,8,-,0,30.26,-,30.13,-,0,-
1/13/01,35,34,33,32,31,30,96,-,85,16,-,4,30.24,-,30.04,-,0,-
1/14/01,36,34,32,36,34,28,100,-,81,13,-,6,30.01,-,29.83,-,0,-
1/15/01,35,32,30,34,32,26,100,-,81,17,-,8,30.06,-,29.85,-,0,-
1/16/01,30,28,26,27,25,22,96,-,82,15,-,7,30.3,-,30.06,-,0,-
1/17/01,26,22,19,22,19,16,91,-,71,12,-,4,30.33,-,30.16,-,0,-
1/18/01,30,24,19,25,21,16,92,-,72,15,-,5,30.14,-,29.94,-,0,-
1/19/01,27,22,17,23,18,12,88,-,72,22,-,7,30.26,-,29.98,-,0,-
1/20/01,24,18,10,11,10,6,81,-,57,12,-,5,30.28,-,30.22,-,0,-
1/21/01,25,18,10,14,11,4,88,-,60,9,-,4,30.41,-,30.25,-,0,-
1/22/01,28,18,7,25,15,5,92,-,63,10,-,0,30.44,-,30.24,-,0,-
1/23/01,34,28,21,25,23,18,92,-,70,12,-,5,30.22,-,30.09,-,0,-
1/24/01,27,22,17,21,17,11,88,-,66,18,-,6,30.4,-,30.07,-,0,-
1/25/01,25,20,14,15,11,8,81,-,57,12,-,6,30.49,-,30.21,-,0,-
1/26/01,30,26,21,28,24,15,93,-,69,20,-,6,30.19,-,29.7,-,0.02,-
1/27/01,26,20,15,20,12,8,78,-,66,21,-,6,30.33,-,30.03,-,0,-
1/28/01,28,21,14,27,17,7,93,-,65,9,-,0,30.32,-,30.19,-,0,-
1/29/01,42,35,28,41,33,28,100,-,81,20,-,7,30.17,-,29.39,-,0.3,-
1/30/01,37,34,32,37,34,31,100,-,92,13,-,0,29.53,-,29.27,-,0.14,-
1/31/01,34,31,27,32,29,22,96,-,79,17,-,6,29.99,-,29.55,-,0,-
2/1/01,30,18,3,21,16,-3,92,-,57,17,-,5,30.21,-,30.01,-,0,-
2/2/01,12,6,0,3,-2,-8,76,-,61,18,-,5,30.35,-,30.22,-,0,-
2/3/01,30,19,10,27,19,5,96,-,69,13,-,6,30.28,-,29.96,-,0,-
2/4/01,34,30,27,31,29,24,100,-,81,12,-,0,30,-,29.89,-,0.03,-
2/5/01,32,29,26,31,25,22,96,-,78,14,-,7,30.02,-,29.86,-,0,-
2/6/01,35,29,19,32,26,19,96,-,61,10,-,0,30.23,-,29.83,-,0,-
2/7/01,35,26,17,31,24,16,100,-,72,17,-,0,30.34,-,30.09,-,0,-
2/8/01,53,42,33,52,43,32,100,-,89,17,-,0,30.06,-,29.75,-,0.47,-
2/9/01,54,36,19,52,34,12,100,-,74,28,-,5,30.14,-,29.53,-,0.11,-
2/10/01,19,16,12,13,7,4,77,-,59,14,-,5,30.63,-,30.18,-,0,-
2/11/01,27,18,10,19,12,3,81,-,66,16,-,0,30.66,-,30.4,-,0,-
2/12/01,37,29,21,29,23,18,85,-,59,14,-,4,30.38,-,30.22,-,0,-
2/13/01,37,34,32,32,30,27,89,-,76,9,-,0,30.35,-,30.04,-,0,-
2/14/01,36,32,28,36,32,23,100,-,80,16,-,0,30.04,-,29.91,-,0,-
2/15/01,32,30,27,25,24,21,85,-,73,10,-,0,30.1,-,30.04,-,0,-
2/16/01,30,23,14,27,18,2,86,-,55,20,-,0,30.4,-,30.07,-,0,-
2/17/01,18,12,6,3,0,-3,70,-,48,20,-,7,30.6,-,30.43,-,0,-
2/18/01,28,18,7,17,6,-2,76,-,39,16,-,8,30.57,-,30.15,-,0,-
2/19/01,42,35,28,32,26,18,85,-,62,20,-,5,30.12,-,29.91,-,0,-
2/20/01,35,27,18,29,17,5,82,-,42,18,-,7,30.41,-,30.04,-,0,-
2/21/01,19,14,10,11,-1,-9,71,-,30,14,-,0,30.61,-,30.36,-,0,-
2/22/01,27,23,19,22,18,11,93,-,71,21,-,5,30.33,-,30.03,-,0.01,-
2/23/01,30,23,18,21,15,9,81,-,45,16,-,6,30.39,-,30.11,-,0,-
2/24/01,55,42,30,54,35,21,100,-,69,23,-,7,30.3,-,29.4,-,0.04,-
2/25/01,55,42,28,54,30,20,94,-,67,34,-,13,30.26,-,29.35,-,0,-
2/26/01,39,31,23,27,22,17,86,-,55,14,-,0,30.42,-,30.28,-,0,-
2/27/01,28,23,17,19,8,-4,69,-,37,15,-,8,30.5,-,30.41,-,0,-
2/28/01,27,20,12,14,2,-5,72,-,33,14,-,6,30.42,-,30.04,-,0,-
3/1/01,41,30,19,28,16,6,85,-,37,16,-,5,30.04,-,29.74,-,0,-
3/2/01,41,36,28,31,29,27,93,-,67,21,-,4,29.79,-,29.7,-,0,-
3/3/01,48,34,21,29,25,21,100,-,42,9,-,0,29.87,-,29.78,-,0,-
3/4/01,33,28,24,30,21,15,89,-,59,25,-,0,30.08,-,29.86,-,0,-
3/5/01,28,23,18,25,13,4,93,-,46,23,-,8,30.17,-,30.02,-,0,-
3/6/01,34,28,21,21,17,11,72,-,56,18,-,6,30.23,-,30.17,-,0,-
3/7/01,44,34,23,24,19,16,74,-,37,18,-,6,30.17,-,30.01,-,0,-
3/8/01,34,31,27,27,22,18,86,-,52,21,-,8,30.03,-,29.88,-,0.01,-
3/9/01,37,31,23,19,18,15,85,-,47,14,-,0,30.14,-,30.05,-,0,-
3/10/01,48,34,19,38,26,16,96,-,39,21,-,0,30.09,-,29.78,-,0,-
3/11/01,37,32,28,32,24,20,96,-,52,18,-,6,30.17,-,29.86,-,0.03,-
3/12/01,48,40,31,46,35,24,100,-,65,23,-,7,30.02,-,29.48,-,0.21,-
3/13/01,41,36,31,34,30,27,88,-,60,20,-,12,29.8,-,29.45,-,0,-
3/14/01,50,39,28,40,33,26,92,-,54,14,-,4,29.88,-,29.8,-,0.01,-
3/15/01,44,38,33,39,36,31,100,-,82,24,-,5,29.85,-,29.8,-,0.44,-
3/16/01,33,32,30,32,30,28,100,-,87,23,-,6,30.08,-,29.82,-,0.42,-
3/17/01,37,32,27,29,25,21,96,-,57,12,-,4,30.4,-,30.07,-,0,-
3/18/01,44,34,23,27,21,17,92,-,35,8,-,0,30.49,-,30.41,-,0,-
3/19/01,46,36,25,26,23,20,92,-,35,10,-,0,30.45,-,30.35,-,0,-
3/20/01,48,38,28,29,25,21,89,-,39,12,-,0,30.35,-,30.19,-,0,-
3/21/01,51,40,30,34,26,21,89,-,31,14,-,0,30.17,-,30.11,-,0,-
3/22/01,55,42,30,37,33,28,100,-,40,15,-,0,30.14,-,30.01,-,0,-
3/23/01,50,42,33,33,31,28,87,-,43,21,-,4,30.13,-,29.99,-,0,-
3/24/01,33,28,21,16,13,8,69,-,42,22,-,12,30.26,-,30.05,-,0,-
3/25/01,24,22,19,16,9,1,86,-,38,22,-,9,30.26,-,30.17,-,0,-
3/26/01,32,24,16,18,11,5,74,-,40,13,-,6,30.29,-,30.23,-,0,-
3/27/01,37,31,25,22,19,16,81,-,44,12,-,0,30.34,-,30.24,-,0,-
3/28/01,48,34,21,31,22,17,85,-,30,13,-,0,30.27,-,30.01,-,0.01,-
3/29/01,46,40,35,34,32,30,93,-,54,13,-,4,30.06,-,29.99,-,0.01,-
3/30/01,50,42,34,35,32,29,93,-,44,14,-,4,30,-,29.91,-,0,-
3/31/01,55,46,36,45,36,29,93,-,49,23,-,4,29.91,-,29.68,-,0.07,-
4/1/01,48,39,30,28,24,22,82,-,37,21,-,0,29.97,-,29.75,-,0,-
4/2/01,60,45,30,34,27,23,75,-,35,17,-,0,30.03,-,29.89,-,0,-
4/3/01,45,40,35,35,32,26,89,-,60,18,-,7,30.31,-,30,-,0,-
4/4/01,52,42,32,34,31,28,92,-,41,14,-,4,30.4,-,30.29,-,0,-
4/5/01,60,48,36,52,38,28,100,-,35,13,-,4,30.28,-,29.84,-,0.04,-
4/6/01,62,53,44,61,53,42,100,-,86,13,-,0,29.98,-,29.79,-,0.18,-
4/7/01,82,63,44,62,49,37,100,-,20,29,-,5,29.79,-,29.54,-,0,-
4/8/01,77,61,45,45,42,39,82,-,31,16,-,6,29.89,-,29.74,-,0,-
4/9/01,59,50,44,52,43,37,93,-,59,22,-,6,29.88,-,29.77,-,0.24,-
4/10/01,51,48,44,47,43,41,96,-,80,14,-,6,29.96,-,29.86,-,0,-
4/11/01,77,62,48,66,56,46,100,-,60,23,-,4,29.84,-,29.44,-,0.53,-
4/12/01,66,57,46,54,41,37,74,-,50,31,-,8,29.97,-,29.37,-,0,-
4/13/01,59,49,39,39,36,33,85,-,41,12,-,0,30.13,-,30,-,0,-
4/14/01,64,52,39,46,35,27,96,-,25,15,-,0,30.06,-,29.93,-,0.01,-
4/15/01,54,49,45,44,40,32,93,-,45,23,-,4,29.96,-,29.83,-,0.19,-
4/16/01,42,36,28,32,25,18,100,-,47,25,-,8,30.11,-,29.98,-,0.02,-
