crimes,temp,type
26,-16,ASSAULT
83,-16,BATTERY
15,-16,BURGLARY
2,-16,"CONCEALED CARRY LICENSE VIOLATION"
4,-16,"CRIM SEXUAL ASSAULT"
24,-16,"CRIMINAL DAMAGE"
6,-16,"CRIMINAL TRESPASS"
21,-16,"DECEPTIVE PRACTICE"
1,-16,"INTERFERENCE WITH PUBLIC OFFICER"
24,-16,"MOTOR VEHICLE THEFT"
9,-16,NARCOTICS
1,-16,"OFFENSE INVOLVING CHILDREN"
36,-16,"OTHER OFFENSE"
10,-16,ROBBERY
4,-16,"SEX OFFENSE"
1,-16,STALKING
59,-16,THEFT
4,-16,"WEAPONS VIOLATION"
42,-10,ASSAULT
81,-10,BATTERY
7,-10,BURGLARY
4,-10,"CRIM SEXUAL ASSAULT"
44,-10,"CRIMINAL DAMAGE"
11,-10,"CRIMINAL TRESPASS"
31,-10,"DECEPTIVE PRACTICE"
3,-10,"INTERFERENCE WITH PUBLIC OFFICER"
40,-10,"MOTOR VEHICLE THEFT"
15,-10,NARCOTICS
6,-10,"OFFENSE INVOLVING CHILDREN"
46,-10,"OTHER OFFENSE"
11,-10,ROBBERY
2,-10,"SEX OFFENSE"
1,-10,STALKING
96,-10,THEFT
6,-10,"WEAPONS VIOLATION"
20,-9,ASSAULT
59,-9,BATTERY
23,-9,BURGLARY
30,-9,"CRIMINAL DAMAGE"
8,-9,"CRIMINAL TRESPASS"
37,-9,"DECEPTIVE PRACTICE"
1,-9,HOMICIDE
1,-9,"INTERFERENCE WITH PUBLIC OFFICER"
1,-9,KIDNAPPING
13,-9,"MOTOR VEHICLE THEFT"
27,-9,NARCOTICS
6,-9,"OFFENSE INVOLVING CHILDREN"
39,-9,"OTHER OFFENSE"
2,-9,"PUBLIC PEACE VIOLATION"
11,-9,ROBBERY
82,-9,THEFT
1,-9,"WEAPONS VIOLATION"
81,-4,ASSAULT
311,-4,BATTERY
77,-4,BURGLARY
20,-4,"CRIM SEXUAL ASSAULT"
164,-4,"CRIMINAL DAMAGE"
36,-4,"CRIMINAL TRESPASS"
131,-4,"DECEPTIVE PRACTICE"
4,-4,HOMICIDE
9,-4,"INTERFERENCE WITH PUBLIC OFFICER"
1,-4,INTIMIDATION
1,-4,KIDNAPPING
5,-4,"LIQUOR LAW VIOLATION"
109,-4,"MOTOR VEHICLE THEFT"
160,-4,NARCOTICS
95,-4,"OFFENSE INVOLVING CHILDREN"
180,-4,"OTHER OFFENSE"
9,-4,"PUBLIC PEACE VIOLATION"
83,-4,ROBBERY
21,-4,"SEX OFFENSE"
1,-4,STALKING
338,-4,THEFT
30,-4,"WEAPONS VIOLATION"
1,-2,ARSON
27,-2,ASSAULT
79,-2,BATTERY
16,-2,BURGLARY
2,-2,"CRIM SEXUAL ASSAULT"
40,-2,"CRIMINAL DAMAGE"
12,-2,"CRIMINAL TRESPASS"
35,-2,"DECEPTIVE PRACTICE"
4,-2,"INTERFERENCE WITH PUBLIC OFFICER"
31,-2,"MOTOR VEHICLE THEFT"
46,-2,NARCOTICS
3,-2,"OFFENSE INVOLVING CHILDREN"
34,-2,"OTHER OFFENSE"
2,-2,PROSTITUTION
3,-2,"PUBLIC PEACE VIOLATION"
12,-2,ROBBERY
2,-2,"SEX OFFENSE"
103,-2,THEFT
6,-2,"WEAPONS VIOLATION"
8,0,ARSON
292,0,ASSAULT
877,0,BATTERY
240,0,BURGLARY
3,0,"CONCEALED CARRY LICENSE VIOLATION"
21,0,"CRIM SEXUAL ASSAULT"
425,0,"CRIMINAL DAMAGE"
108,0,"CRIMINAL TRESPASS"
260,0,"DECEPTIVE PRACTICE"
9,0,GAMBLING
4,0,HOMICIDE
1,0,"HUMAN TRAFFICKING"
14,0,"INTERFERENCE WITH PUBLIC OFFICER"
2,0,INTIMIDATION
4,0,"LIQUOR LAW VIOLATION"
249,0,"MOTOR VEHICLE THEFT"
411,0,NARCOTICS
1,0,OBSCENITY
36,0,"OFFENSE INVOLVING CHILDREN"
316,0,"OTHER OFFENSE"
22,0,PROSTITUTION
29,0,"PUBLIC PEACE VIOLATION"
