crimes,community_area,type
49,"Albany Park",ARSON
1399,"Albany Park",ASSAULT
4609,"Albany Park",BATTERY
1746,"Albany Park",BURGLARY
1,"Albany Park","CONCEALED CARRY LICENSE VIOLATION"
121,"Albany Park","CRIM SEXUAL ASSAULT"
3481,"Albany Park","CRIMINAL DAMAGE"
518,"Albany Park","CRIMINAL TRESPASS"
1013,"Albany Park","DECEPTIVE PRACTICE"
7,"Albany Park",GAMBLING
27,"Albany Park",HOMICIDE
54,"Albany Park","INTERFERENCE WITH PUBLIC OFFICER"
20,"Albany Park",INTIMIDATION
15,"Albany Park",KIDNAPPING
76,"Albany Park","LIQUOR LAW VIOLATION"
1593,"Albany Park","MOTOR VEHICLE THEFT"
1294,"Albany Park",NARCOTICS
2,"Albany Park",NON-CRIMINAL
3,"Albany Park",OBSCENITY
218,"Albany Park","OFFENSE INVOLVING CHILDREN"
1601,"Albany Park","OTHER OFFENSE"
70,"Albany Park",PROSTITUTION
1,"Albany Park","PUBLIC INDECENCY"
204,"Albany Park","PUBLIC PEACE VIOLATION"
1121,"Albany Park",ROBBERY
148,"Albany Park","SEX OFFENSE"
9,"Albany Park",STALKING
5482,"Albany Park",THEFT
224,"Albany Park","WEAPONS VIOLATION"
19,"Archer Heights",ARSON
509,"Archer Heights",ASSAULT
1402,"Archer Heights",BATTERY
852,"Archer Heights",BURGLARY
1,"Archer Heights","CONCEALED CARRY LICENSE VIOLATION"
41,"Archer Heights","CRIM SEXUAL ASSAULT"
1553,"Archer Heights","CRIMINAL DAMAGE"
125,"Archer Heights","CRIMINAL TRESPASS"
435,"Archer Heights","DECEPTIVE PRACTICE"
3,"Archer Heights",GAMBLING
12,"Archer Heights",HOMICIDE
12,"Archer Heights","INTERFERENCE WITH PUBLIC OFFICER"
8,"Archer Heights",INTIMIDATION
21,"Archer Heights",KIDNAPPING
20,"Archer Heights","LIQUOR LAW VIOLATION"
738,"Archer Heights","MOTOR VEHICLE THEFT"
432,"Archer Heights",NARCOTICS
1,"Archer Heights",NON-CRIMINAL
3,"Archer Heights",OBSCENITY
82,"Archer Heights","OFFENSE INVOLVING CHILDREN"
493,"Archer Heights","OTHER OFFENSE"
160,"Archer Heights",PROSTITUTION
2,"Archer Heights","PUBLIC INDECENCY"
86,"Archer Heights","PUBLIC PEACE VIOLATION"
398,"Archer Heights",ROBBERY
36,"Archer Heights","SEX OFFENSE"
5,"Archer Heights",STALKING
2323,"Archer Heights",THEFT
90,"Archer Heights","WEAPONS VIOLATION"
7,"Armour Square",ARSON
605,"Armour Square",ASSAULT
1815,"Armour Square",BATTERY
460,"Armour Square",BURGLARY
29,"Armour Square","CRIM SEXUAL ASSAULT"
1204,"Armour Square","CRIMINAL DAMAGE"
463,"Armour Square","CRIMINAL TRESPASS"
1055,"Armour Square","DECEPTIVE PRACTICE"
9,"Armour Square",GAMBLING
8,"Armour Square",HOMICIDE
25,"Armour Square","INTERFERENCE WITH PUBLIC OFFICER"
9,"Armour Square",INTIMIDATION
4,"Armour Square",KIDNAPPING
16,"Armour Square","LIQUOR LAW VIOLATION"
630,"Armour Square","MOTOR VEHICLE THEFT"
430,"Armour Square",NARCOTICS
1,"Armour Square",NON-CRIMINAL
1,"Armour Square",OBSCENITY
46,"Armour Square","OFFENSE INVOLVING CHILDREN"
411,"Armour Square","OTHER OFFENSE"
13,"Armour Square",PROSTITUTION
2,"Armour Square","PUBLIC INDECENCY"
57,"Armour Square","PUBLIC PEACE VIOLATION"
752,"Armour Square",ROBBERY
40,"Armour Square","SEX OFFENSE"
8,"Armour Square",STALKING
3041,"Armour Square",THEFT
89,"Armour Square","WEAPONS VIOLATION"
40,Ashburn,ARSON
1691,Ashburn,ASSAULT
3914,Ashburn,BATTERY
2223,Ashburn,BURGLARY
112,Ashburn,"CRIM SEXUAL ASSAULT"
3550,Ashburn,"CRIMINAL DAMAGE"
504,Ashburn,"CRIMINAL TRESPASS"
1347,Ashburn,"DECEPTIVE PRACTICE"
17,Ashburn,GAMBLING
51,Ashburn,HOMICIDE
29,Ashburn,"INTERFERENCE WITH PUBLIC OFFICER"
12,Ashburn,INTIMIDATION
37,Ashburn,KIDNAPPING
21,Ashburn,"LIQUOR LAW VIOLATION"
1453,Ashburn,"MOTOR VEHICLE THEFT"
1149,Ashburn,NARCOTICS
3,Ashburn,"NON - CRIMINAL"
15,Ashburn,OBSCENITY
231,Ashburn,"OFFENSE INVOLVING CHILDREN"
1,Ashburn,"OTHER NARCOTIC VIOLATION"
1787,Ashburn,"OTHER OFFENSE"
17,Ashburn,PROSTITUTION
245,Ashburn,"PUBLIC PEACE VIOLATION"
1013,Ashburn,ROBBERY
86,Ashburn,"SEX OFFENSE"
