,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
650989,2014-02-24,39.0,CONCEALED CARRY LICENSE VIOLATION,19.0,55.0,1
660057,2014-03-21,29.0,CONCEALED CARRY LICENSE VIOLATION,44.0,15.0,1
660535,2014-03-22,45.0,CONCEALED CARRY LICENSE VIOLATION,34.0,52.0,1
671981,2014-04-21,37.0,CONCEALED CARRY LICENSE VIOLATION,66.0,1.0,1
675309,2014-04-30,24.0,CONCEALED CARRY LICENSE VIOLATION,48.0,85.0,1
685781,2014-05-26,26.0,CONCEALED CARRY LICENSE VIOLATION,74.0,73.0,1
699209,2014-06-28,9.0,CONCEALED CARRY LICENSE VIOLATION,79.0,58.0,1
707065,2014-07-17,31.0,CONCEALED CARRY LICENSE VIOLATION,66.0,20.0,1
709073,2014-07-22,29.0,CONCEALED CARRY LICENSE VIOLATION,80.0,15.0,1
732722,2014-09-19,28.0,CONCEALED CARRY LICENSE VIOLATION,66.0,83.0,1
735555,2014-09-26,27.0,CONCEALED CARRY LICENSE VIOLATION,65.0,92.0,1
744559,2014-10-19,26.0,CONCEALED CARRY LICENSE VIOLATION,44.0,73.0,1
744619,2014-10-19,37.0,CONCEALED CARRY LICENSE VIOLATION,44.0,1.0,1
745167,2014-10-20,75.0,CONCEALED CARRY LICENSE VIOLATION,56.0,24.0,1
769899,2014-12-26,65.0,CONCEALED CARRY LICENSE VIOLATION,43.0,89.0,1
783688,2015-02-04,20.0,CONCEALED CARRY LICENSE VIOLATION,15.0,46.0,1
796539,2015-03-13,33.0,CONCEALED CARRY LICENSE VIOLATION,51.0,76.0,1
797784,2015-03-16,53.0,CONCEALED CARRY LICENSE VIOLATION,58.0,32.0,1
801889,2015-03-27,75.0,CONCEALED CARRY LICENSE VIOLATION,26.0,24.0,1
808011,2015-04-13,66.0,CONCEALED CARRY LICENSE VIOLATION,57.0,94.0,1
811496,2015-04-23,26.0,CONCEALED CARRY LICENSE VIOLATION,44.0,73.0,1
820209,2015-05-16,37.0,CONCEALED CARRY LICENSE VIOLATION,71.0,1.0,1
820376,2015-05-16,67.0,CONCEALED CARRY LICENSE VIOLATION,71.0,60.0,1
820634,2015-05-17,43.0,CONCEALED CARRY LICENSE VIOLATION,74.0,79.0,1
822236,2015-05-21,65.0,CONCEALED CARRY LICENSE VIOLATION,57.0,89.0,1
823269,2015-05-24,34.0,CONCEALED CARRY LICENSE VIOLATION,66.0,7.0,1
825326,2015-05-29,50.0,CONCEALED CARRY LICENSE VIOLATION,72.0,62.0,1
828719,2015-06-07,27.0,CONCEALED CARRY LICENSE VIOLATION,68.0,92.0,1
830401,2015-06-11,58.0,CONCEALED CARRY LICENSE VIOLATION,65.0,43.0,1
832621,2015-06-17,30.0,CONCEALED CARRY LICENSE VIOLATION,64.0,87.0,1
834348,2015-06-21,66.0,CONCEALED CARRY LICENSE VIOLATION,76.0,89.0,1
835412,2015-06-24,53.0,CONCEALED CARRY LICENSE VIOLATION,70.0,32.0,1
836066,2015-06-26,28.0,CONCEALED CARRY LICENSE VIOLATION,63.0,83.0,1
841559,2015-07-10,48.0,CONCEALED CARRY LICENSE VIOLATION,71.0,65.0,1
847625,2015-07-26,26.0,CONCEALED CARRY LICENSE VIOLATION,72.0,73.0,1
847949,2015-07-27,14.0,CONCEALED CARRY LICENSE VIOLATION,78.0,53.0,1
848606,2015-07-28,65.0,CONCEALED CARRY LICENSE VIOLATION,79.0,89.0,1
863618,2015-09-04,75.0,CONCEALED CARRY LICENSE VIOLATION,77.0,24.0,1
866705,2015-09-13,28.0,CONCEALED CARRY LICENSE VIOLATION,59.0,83.0,1
871143,2015-09-24,65.0,CONCEALED CARRY LICENSE VIOLATION,66.0,89.0,1
873755,2015-10-01,53.0,CONCEALED CARRY LICENSE VIOLATION,56.0,32.0,1
874410,2015-10-03,28.0,CONCEALED CARRY LICENSE VIOLATION,51.0,83.0,1
874519,2015-10-03,50.0,CONCEALED CARRY LICENSE VIOLATION,51.0,62.0,1
877540,2015-10-11,50.0,CONCEALED CARRY LICENSE VIOLATION,65.0,62.0,1
877775,2015-10-12,26.0,CONCEALED CARRY LICENSE VIOLATION,64.0,73.0,1
892034,2015-11-19,53.0,CONCEALED CARRY LICENSE VIOLATION,41.0,32.0,1
895528,2015-11-30,17.0,CONCEALED CARRY LICENSE VIOLATION,41.0,70.0,1
897876,2015-12-06,61.0,CONCEALED CARRY LICENSE VIOLATION,37.0,93.0,1
899160,2015-12-10,27.0,CONCEALED CARRY LICENSE VIOLATION,49.0,92.0,1
912949,2016-01-19,37.0,CONCEALED CARRY LICENSE VIOLATION,9.0,1.0,1
920584,2016-02-09,45.0,CONCEALED CARRY LICENSE VIOLATION,17.0,51.0,1
921057,2016-02-11,6.0,CONCEALED CARRY LICENSE VIOLATION,14.0,17.0,1
925497,2016-02-23,75.0,CONCEALED CARRY LICENSE VIOLATION,36.0,24.0,1
926875,2016-02-27,66.0,CONCEALED CARRY LICENSE VIOLATION,41.0,94.0,1
932003,2016-03-12,70.0,CONCEALED CARRY LICENSE VIOLATION,46.0,74.0,1
935861,2016-03-23,27.0,CONCEALED CARRY LICENSE VIOLATION,39.0,92.0,1
947392,2016-04-23,40.0,CONCEALED CARRY LICENSE VIOLATION,49.0,60.0,1
950044,2016-04-30,66.0,CONCEALED CARRY LICENSE VIOLATION,46.0,94.0,1
961140,2016-05-29,65.0,CONCEALED CARRY LICENSE VIOLATION,71.0,89.0,1
962790,2016-06-02,67.0,CONCEALED CARRY LICENSE VIOLATION,68.0,66.0,1
963501,2016-06-04,53.0,CONCEALED CARRY LICENSE VIOLATION,67.0,32.0,1
966930,2016-06-13,53.0,CONCEALED CARRY LICENSE VIOLATION,70.0,32.0,1
972517,2016-06-27,53.0,CONCEALED CARRY LICENSE VIOLATION,80.0,32.0,1
974000,2016-07-01,26.0,CONCEALED CARRY LICENSE VIOLATION,66.0,73.0,1
983466,2016-07-25,40.0,CONCEALED CARRY LICENSE VIOLATION,81.0,60.0,1
983641,2016-07-25,75.0,CONCEALED CARRY LICENSE VIOLATION,81.0,24.0,1
986117,2016-08-01,27.0,CONCEALED CARRY LICENSE VIOLATION,75.0,92.0,1
986136,2016-08-01,29.0,CONCEALED CARRY LICENSE VIOLATION,75.0,15.0,1
986381,2016-08-01,75.0,CONCEALED CARRY LICENSE VIOLATION,75.0,24.0,1
988999,2016-08-08,37.0,CONCEALED CARRY LICENSE VIOLATION,78.0,1.0,1
989959,2016-08-10,75.0,CONCEALED CARRY LICENSE VIOLATION,79.0,24.0,1
992200,2016-08-16,53.0,CONCEALED CARRY LICENSE VIOLATION,80.0,32.0,1
992570,2016-08-17,53.0,CONCEALED CARRY LICENSE VIOLATION,79.0,32.0,1
1003745,2016-09-14,75.0,CONCEALED CARRY LICENSE VIOLATION,69.0,24.0,1
1014067,2016-10-11,75.0,CONCEALED CARRY LICENSE VIOLATION,64.0,24.0,1
1014728,2016-10-13,53.0,CONCEALED CARRY LICENSE VIOLATION,48.0,32.0,1
1016335,2016-10-17,66.0,CONCEALED CARRY LICENSE VIOLATION,75.0,66.0,1
1018938,2016-10-24,53.0,CONCEALED CARRY LICENSE VIOLATION,49.0,32.0,1
