,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
11,2010-01-01,4.0,CRIM SEXUAL ASSAULT,11.0,57.0,1
28,2010-01-01,7.0,CRIM SEXUAL ASSAULT,11.0,88.0,1
65,2010-01-01,11.0,CRIM SEXUAL ASSAULT,11.0,25.0,1
90,2010-01-01,16.0,CRIM SEXUAL ASSAULT,11.0,34.0,1
106,2010-01-01,19.0,CRIM SEXUAL ASSAULT,11.0,70.0,1
128,2010-01-01,22.0,CRIM SEXUAL ASSAULT,11.0,42.0,1
138,2010-01-01,23.0,CRIM SEXUAL ASSAULT,11.0,23.0,5
152,2010-01-01,24.0,CRIM SEXUAL ASSAULT,11.0,85.0,1
176,2010-01-01,26.0,CRIM SEXUAL ASSAULT,11.0,73.0,3
189,2010-01-01,27.0,CRIM SEXUAL ASSAULT,11.0,92.0,3
200,2010-01-01,28.0,CRIM SEXUAL ASSAULT,11.0,83.0,3
233,2010-01-01,31.0,CRIM SEXUAL ASSAULT,11.0,20.0,2
249,2010-01-01,33.0,CRIM SEXUAL ASSAULT,11.0,76.0,1
272,2010-01-01,38.0,CRIM SEXUAL ASSAULT,11.0,3.0,1
282,2010-01-01,39.0,CRIM SEXUAL ASSAULT,11.0,55.0,1
308,2010-01-01,42.0,CRIM SEXUAL ASSAULT,11.0,75.0,1
351,2010-01-01,49.0,CRIM SEXUAL ASSAULT,11.0,64.0,2
359,2010-01-01,50.0,CRIM SEXUAL ASSAULT,11.0,62.0,3
371,2010-01-01,51.0,CRIM SEXUAL ASSAULT,11.0,98.0,1
376,2010-01-01,52.0,CRIM SEXUAL ASSAULT,11.0,44.0,1
387,2010-01-01,55.0,CRIM SEXUAL ASSAULT,11.0,84.0,1
405,2010-01-01,57.0,CRIM SEXUAL ASSAULT,11.0,5.0,1
417,2010-01-01,59.0,CRIM SEXUAL ASSAULT,11.0,91.0,2
434,2010-01-01,61.0,CRIM SEXUAL ASSAULT,11.0,93.0,2
446,2010-01-01,63.0,CRIM SEXUAL ASSAULT,11.0,56.0,1
478,2010-01-01,66.0,CRIM SEXUAL ASSAULT,11.0,94.0,1
491,2010-01-01,67.0,CRIM SEXUAL ASSAULT,11.0,66.0,1
607,2010-01-02,15.0,CRIM SEXUAL ASSAULT,7.0,35.0,1
700,2010-01-02,30.0,CRIM SEXUAL ASSAULT,7.0,87.0,1
707,2010-01-02,31.0,CRIM SEXUAL ASSAULT,7.0,20.0,1
744,2010-01-02,39.0,CRIM SEXUAL ASSAULT,7.0,55.0,1
1080,2010-01-03,29.0,CRIM SEXUAL ASSAULT,9.0,15.0,1
1138,2010-01-03,39.0,CRIM SEXUAL ASSAULT,9.0,55.0,1
1156,2010-01-03,42.0,CRIM SEXUAL ASSAULT,9.0,75.0,1
1459,2010-01-04,24.0,CRIM SEXUAL ASSAULT,13.0,85.0,1
1480,2010-01-04,26.0,CRIM SEXUAL ASSAULT,13.0,73.0,1
1631,2010-01-04,53.0,CRIM SEXUAL ASSAULT,13.0,32.0,1
1744,2010-01-04,70.0,CRIM SEXUAL ASSAULT,13.0,74.0,1
1968,2010-01-05,33.0,CRIM SEXUAL ASSAULT,18.0,76.0,1
1981,2010-01-05,37.0,CRIM SEXUAL ASSAULT,18.0,1.0,1
2124,2010-01-05,64.0,CRIM SEXUAL ASSAULT,18.0,80.0,1
2452,2010-01-06,42.0,CRIM SEXUAL ASSAULT,15.0,75.0,1
2564,2010-01-06,65.0,CRIM SEXUAL ASSAULT,15.0,89.0,1
2638,2010-01-07,4.0,CRIM SEXUAL ASSAULT,19.0,57.0,1
2662,2010-01-07,9.0,CRIM SEXUAL ASSAULT,19.0,58.0,1
2947,2010-01-07,57.0,CRIM SEXUAL ASSAULT,19.0,5.0,1
3155,2010-01-08,20.0,CRIM SEXUAL ASSAULT,19.0,46.0,1
3221,2010-01-08,28.0,CRIM SEXUAL ASSAULT,19.0,83.0,1
3460,2010-01-08,67.0,CRIM SEXUAL ASSAULT,19.0,66.0,1
3677,2010-01-09,30.0,CRIM SEXUAL ASSAULT,14.0,96.0,1
3714,2010-01-09,37.0,CRIM SEXUAL ASSAULT,14.0,1.0,1
4245,2010-01-10,66.0,CRIM SEXUAL ASSAULT,9.0,94.0,1
4293,2010-01-10,74.0,CRIM SEXUAL ASSAULT,9.0,30.0,1
4717,2010-01-11,70.0,CRIM SEXUAL ASSAULT,21.0,74.0,1
5584,2010-01-13,66.0,CRIM SEXUAL ASSAULT,27.0,94.0,1
5944,2010-01-14,42.0,CRIM SEXUAL ASSAULT,36.0,75.0,1
5974,2010-01-14,48.0,CRIM SEXUAL ASSAULT,36.0,65.0,1
6210,2010-01-15,11.0,CRIM SEXUAL ASSAULT,30.0,25.0,1
6309,2010-01-15,26.0,CRIM SEXUAL ASSAULT,30.0,73.0,1
6641,2010-01-15,76.0,CRIM SEXUAL ASSAULT,30.0,19.0,1
6686,2010-01-16,10.0,CRIM SEXUAL ASSAULT,25.0,39.0,1
6854,2010-01-16,34.0,CRIM SEXUAL ASSAULT,25.0,7.0,1
7130,2010-01-17,10.0,CRIM SEXUAL ASSAULT,24.0,39.0,2
7450,2010-01-17,65.0,CRIM SEXUAL ASSAULT,24.0,89.0,1
7494,2010-01-17,70.0,CRIM SEXUAL ASSAULT,24.0,74.0,1
7516,2010-01-17,74.0,CRIM SEXUAL ASSAULT,24.0,30.0,1
7706,2010-01-18,31.0,CRIM SEXUAL ASSAULT,29.0,20.0,1
8098,2010-01-19,26.0,CRIM SEXUAL ASSAULT,33.0,73.0,1
