,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
43,2010-01-01,9.0,CRIMINAL TRESPASS,11.0,58.0,1
57,2010-01-01,10.0,CRIMINAL TRESPASS,11.0,39.0,3
92,2010-01-01,16.0,CRIMINAL TRESPASS,11.0,34.0,1
153,2010-01-01,24.0,CRIMINAL TRESPASS,11.0,85.0,1
191,2010-01-01,27.0,CRIMINAL TRESPASS,11.0,92.0,2
212,2010-01-01,29.0,CRIMINAL TRESPASS,11.0,15.0,1
222,2010-01-01,30.0,CRIMINAL TRESPASS,11.0,87.0,2
263,2010-01-01,37.0,CRIMINAL TRESPASS,11.0,1.0,1
274,2010-01-01,38.0,CRIMINAL TRESPASS,11.0,3.0,1
378,2010-01-01,53.0,CRIMINAL TRESPASS,11.0,32.0,1
406,2010-01-01,57.0,CRIMINAL TRESPASS,11.0,5.0,2
419,2010-01-01,59.0,CRIMINAL TRESPASS,11.0,91.0,1
457,2010-01-01,64.0,CRIMINAL TRESPASS,11.0,80.0,1
493,2010-01-01,67.0,CRIMINAL TRESPASS,11.0,66.0,1
519,2010-01-01,70.0,CRIMINAL TRESPASS,11.0,74.0,1
539,2010-01-01,72.0,CRIMINAL TRESPASS,11.0,48.0,1
584,2010-01-02,7.0,CRIMINAL TRESPASS,7.0,88.0,1
609,2010-01-02,15.0,CRIMINAL TRESPASS,7.0,35.0,2
632,2010-01-02,20.0,CRIMINAL TRESPASS,7.0,46.0,1
702,2010-01-02,30.0,CRIMINAL TRESPASS,7.0,87.0,1
732,2010-01-02,37.0,CRIMINAL TRESPASS,7.0,1.0,3
736,2010-01-02,38.0,CRIMINAL TRESPASS,7.0,3.0,1
746,2010-01-02,39.0,CRIMINAL TRESPASS,7.0,55.0,2
878,2010-01-02,66.0,CRIMINAL TRESPASS,7.0,94.0,1
911,2010-01-02,70.0,CRIMINAL TRESPASS,7.0,74.0,1
946,2010-01-03,3.0,CRIMINAL TRESPASS,9.0,97.0,1
957,2010-01-03,6.0,CRIMINAL TRESPASS,9.0,17.0,1
962,2010-01-03,7.0,CRIMINAL TRESPASS,9.0,88.0,1
981,2010-01-03,10.0,CRIMINAL TRESPASS,9.0,39.0,1
1006,2010-01-03,19.0,CRIMINAL TRESPASS,9.0,70.0,1
1011,2010-01-03,20.0,CRIMINAL TRESPASS,9.0,46.0,1
1027,2010-01-03,23.0,CRIMINAL TRESPASS,9.0,23.0,1
1053,2010-01-03,26.0,CRIMINAL TRESPASS,9.0,73.0,1
1063,2010-01-03,27.0,CRIMINAL TRESPASS,9.0,92.0,1
1082,2010-01-03,29.0,CRIMINAL TRESPASS,9.0,15.0,2
1098,2010-01-03,31.0,CRIMINAL TRESPASS,9.0,12.5,2
1115,2010-01-03,34.0,CRIMINAL TRESPASS,9.0,7.0,1
1126,2010-01-03,37.0,CRIMINAL TRESPASS,9.0,1.0,1
1132,2010-01-03,38.0,CRIMINAL TRESPASS,9.0,3.0,2
1169,2010-01-03,45.0,CRIMINAL TRESPASS,9.0,52.0,2
1204,2010-01-03,51.0,CRIMINAL TRESPASS,9.0,98.0,1
1228,2010-01-03,57.0,CRIMINAL TRESPASS,9.0,5.0,1
1233,2010-01-03,58.0,CRIMINAL TRESPASS,9.0,43.0,1
1240,2010-01-03,59.0,CRIMINAL TRESPASS,9.0,91.0,3
1262,2010-01-03,64.0,CRIMINAL TRESPASS,9.0,80.0,1
1272,2010-01-03,65.0,CRIMINAL TRESPASS,9.0,89.0,1
1294,2010-01-03,68.0,CRIMINAL TRESPASS,9.0,2.0,1
1308,2010-01-03,70.0,CRIMINAL TRESPASS,9.0,74.0,2
1353,2010-01-04,4.0,CRIMINAL TRESPASS,13.0,57.0,1
1374,2010-01-04,9.0,CRIMINAL TRESPASS,13.0,58.0,1
1390,2010-01-04,13.0,CRIMINAL TRESPASS,13.0,33.0,1
1396,2010-01-04,14.0,CRIMINAL TRESPASS,13.0,53.0,1
1404,2010-01-04,15.0,CRIMINAL TRESPASS,13.0,35.0,1
1461,2010-01-04,24.0,CRIMINAL TRESPASS,13.0,85.0,1
1509,2010-01-04,29.0,CRIMINAL TRESPASS,13.0,15.0,4
1530,2010-01-04,32.0,CRIMINAL TRESPASS,13.0,96.0,1
1540,2010-01-04,34.0,CRIMINAL TRESPASS,13.0,7.0,1
1551,2010-01-04,37.0,CRIMINAL TRESPASS,13.0,1.0,3
1566,2010-01-04,39.0,CRIMINAL TRESPASS,13.0,55.0,3
1618,2010-01-04,50.0,CRIMINAL TRESPASS,13.0,62.0,1
1645,2010-01-04,56.0,CRIMINAL TRESPASS,13.0,61.0,1
1649,2010-01-04,57.0,CRIMINAL TRESPASS,13.0,5.0,1
1669,2010-01-04,60.0,CRIMINAL TRESPASS,13.0,69.0,1
1677,2010-01-04,62.0,CRIMINAL TRESPASS,13.0,29.0,1
1705,2010-01-04,65.0,CRIMINAL TRESPASS,13.0,89.0,1
1776,2010-01-05,3.0,CRIMINAL TRESPASS,18.0,97.0,1
1784,2010-01-05,4.0,CRIMINAL TRESPASS,18.0,57.0,1
1796,2010-01-05,7.0,CRIMINAL TRESPASS,18.0,88.0,1
1802,2010-01-05,8.0,CRIMINAL TRESPASS,18.0,14.0,1
1808,2010-01-05,9.0,CRIMINAL TRESPASS,18.0,58.0,3
1814,2010-01-05,10.0,CRIMINAL TRESPASS,18.0,39.0,1
1823,2010-01-05,13.0,CRIMINAL TRESPASS,18.0,33.0,1
1826,2010-01-05,14.0,CRIMINAL TRESPASS,18.0,53.0,1
1839,2010-01-05,16.0,CRIMINAL TRESPASS,18.0,34.0,2
1906,2010-01-05,25.0,CRIMINAL TRESPASS,18.0,10.0,3
1941,2010-01-05,29.0,CRIMINAL TRESPASS,18.0,15.0,2
1949,2010-01-05,30.0,CRIMINAL TRESPASS,18.0,87.0,1
1957,2010-01-05,31.0,CRIMINAL TRESPASS,18.0,20.0,1
1972,2010-01-05,34.0,CRIMINAL TRESPASS,18.0,7.0,4
1983,2010-01-05,37.0,CRIMINAL TRESPASS,18.0,1.0,6
1991,2010-01-05,38.0,CRIMINAL TRESPASS,18.0,3.0,1
2017,2010-01-05,42.0,CRIMINAL TRESPASS,18.0,75.0,1
2126,2010-01-05,64.0,CRIMINAL TRESPASS,18.0,80.0,2
2179,2010-01-05,70.0,CRIMINAL TRESPASS,18.0,74.0,2
2190,2010-01-05,72.0,CRIMINAL TRESPASS,18.0,48.0,1
2196,2010-01-05,75.0,CRIMINAL TRESPASS,18.0,24.0,1
2207,2010-01-06,1.0,CRIMINAL TRESPASS,15.0,47.0,2
2239,2010-01-06,9.0,CRIMINAL TRESPASS,15.0,58.0,3
