,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
333,2010-01-01,45.0,GAMBLING,11.0,52.0,1
571,2010-01-02,1.0,GAMBLING,7.0,47.0,1
2872,2010-01-07,40.0,GAMBLING,19.0,66.0,1
3680,2010-01-09,30.0,GAMBLING,14.0,87.0,1
5674,2010-01-14,5.0,GAMBLING,36.0,26.0,1
6164,2010-01-15,4.0,GAMBLING,30.0,47.0,1
6325,2010-01-15,27.0,GAMBLING,30.0,92.0,1
6987,2010-01-16,60.0,GAMBLING,25.0,69.0,1
9349,2010-01-22,7.0,GAMBLING,34.0,88.0,1
11432,2010-01-26,64.0,GAMBLING,18.0,80.0,1
11924,2010-01-27,70.0,GAMBLING,16.0,74.0,1
12285,2010-01-28,62.0,GAMBLING,12.0,29.0,1
14681,2010-02-03,26.0,GAMBLING,28.0,73.0,1
14720,2010-02-03,30.0,GAMBLING,28.0,87.0,1
14965,2010-02-03,73.0,GAMBLING,28.0,16.0,1
15058,2010-02-04,16.0,GAMBLING,27.0,34.0,1
15838,2010-02-05,70.0,GAMBLING,33.0,74.0,1
15937,2010-02-06,15.0,GAMBLING,28.0,35.0,1
16159,2010-02-06,50.0,GAMBLING,28.0,62.0,1
16325,2010-02-07,7.0,GAMBLING,27.0,88.0,1
16810,2010-02-08,26.0,GAMBLING,25.0,73.0,1
17026,2010-02-08,64.0,GAMBLING,25.0,80.0,1
17904,2010-02-10,67.0,GAMBLING,22.0,66.0,1
17912,2010-02-10,68.0,GAMBLING,22.0,2.0,1
18184,2010-02-11,40.0,GAMBLING,20.0,60.0,1
18517,2010-02-12,26.0,GAMBLING,21.0,73.0,1
19057,2010-02-13,45.0,GAMBLING,21.0,52.0,1
19343,2010-02-14,26.0,GAMBLING,19.0,73.0,1
19840,2010-02-15,39.0,GAMBLING,17.0,55.0,1
20567,2010-02-17,25.0,GAMBLING,29.0,10.0,1
21018,2010-02-18,26.0,GAMBLING,32.0,73.0,1
21485,2010-02-19,26.0,GAMBLING,31.0,73.0,1
22192,2010-02-20,74.0,GAMBLING,35.0,30.0,1
25082,2010-02-27,61.0,GAMBLING,31.0,93.0,1
26215,2010-03-02,26.0,GAMBLING,28.0,73.0,1
26536,2010-03-03,8.0,GAMBLING,32.0,14.0,1
27096,2010-03-04,26.0,GAMBLING,32.0,73.0,1
27364,2010-03-04,68.0,GAMBLING,32.0,2.0,1
27553,2010-03-05,26.0,GAMBLING,31.0,73.0,1
28277,2010-03-06,70.0,GAMBLING,33.0,74.0,1
28741,2010-03-08,9.0,GAMBLING,39.0,58.0,1
28834,2010-03-08,24.0,GAMBLING,39.0,85.0,1
29200,2010-03-09,7.0,GAMBLING,42.0,88.0,1
29585,2010-03-09,67.0,GAMBLING,42.0,66.0,1
29659,2010-03-10,4.0,GAMBLING,54.0,26.0,1
29800,2010-03-10,26.0,GAMBLING,54.0,73.0,1
30074,2010-03-10,67.0,GAMBLING,54.0,60.0,1
30561,2010-03-11,65.0,GAMBLING,52.0,89.0,1
31031,2010-03-12,64.0,GAMBLING,48.0,80.0,1
32010,2010-03-15,9.0,GAMBLING,44.0,58.0,1
32120,2010-03-15,26.0,GAMBLING,44.0,73.0,1
32504,2010-03-16,10.0,GAMBLING,48.0,39.0,1
32520,2010-03-16,14.0,GAMBLING,48.0,53.0,1
32701,2010-03-16,39.0,GAMBLING,48.0,55.0,1
32938,2010-03-17,1.0,GAMBLING,48.0,47.0,1
33102,2010-03-17,27.0,GAMBLING,48.0,92.0,1
33563,2010-03-18,26.0,GAMBLING,51.0,73.0,1
34145,2010-03-19,39.0,GAMBLING,52.0,55.0,1
34933,2010-03-21,26.0,GAMBLING,38.0,73.0,1
34957,2010-03-21,29.0,GAMBLING,38.0,15.0,1
35389,2010-03-22,29.0,GAMBLING,42.0,15.0,1
35795,2010-03-23,24.0,GAMBLING,44.0,85.0,1
35828,2010-03-23,27.0,GAMBLING,44.0,92.0,1
36010,2010-03-23,59.0,GAMBLING,44.0,91.0,1
36159,2010-03-24,7.0,GAMBLING,44.0,88.0,1
36258,2010-03-24,24.0,GAMBLING,44.0,85.0,1
36283,2010-03-24,26.0,GAMBLING,44.0,73.0,1
36771,2010-03-25,26.0,GAMBLING,38.0,73.0,1
37675,2010-03-27,24.0,GAMBLING,41.0,85.0,1
