,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
777,2010-01-02,45.0,HOMICIDE,7.0,52.0,1
866,2010-01-02,65.0,HOMICIDE,7.0,89.0,1
1273,2010-01-03,65.0,HOMICIDE,9.0,89.0,1
1694,2010-01-04,64.0,HOMICIDE,13.0,80.0,1
1725,2010-01-04,67.0,HOMICIDE,13.0,66.0,1
2741,2010-01-07,24.0,HOMICIDE,19.0,85.0,1
3681,2010-01-09,30.0,HOMICIDE,14.0,87.0,1
3718,2010-01-09,37.0,HOMICIDE,14.0,1.0,1
4601,2010-01-11,50.0,HOMICIDE,21.0,62.0,1
5145,2010-01-12,67.0,HOMICIDE,26.0,66.0,1
5450,2010-01-13,42.0,HOMICIDE,27.0,75.0,1
5709,2010-01-14,10.0,HOMICIDE,36.0,39.0,1
7692,2010-01-18,29.0,HOMICIDE,29.0,15.0,1
7986,2010-01-19,7.0,HOMICIDE,33.0,58.0,1
8161,2010-01-19,32.0,HOMICIDE,33.0,96.0,1
9060,2010-01-21,32.0,HOMICIDE,33.0,96.0,1
9332,2010-01-22,3.0,HOMICIDE,34.0,97.0,1
9448,2010-01-22,24.0,HOMICIDE,34.0,85.0,1
9916,2010-01-23,24.0,HOMICIDE,39.0,85.0,1
10370,2010-01-24,26.0,HOMICIDE,38.0,73.0,1
13475,2010-01-31,42.0,HOMICIDE,22.0,75.0,1
13526,2010-01-31,53.0,HOMICIDE,22.0,32.0,1
13792,2010-02-01,24.0,HOMICIDE,22.0,85.0,1
14507,2010-02-02,70.0,HOMICIDE,29.0,74.0,3
15215,2010-02-04,39.0,HOMICIDE,27.0,55.0,1
16012,2010-02-06,26.0,HOMICIDE,28.0,73.0,1
16336,2010-02-07,9.0,HOMICIDE,27.0,88.0,1
16466,2010-02-07,32.0,HOMICIDE,27.0,96.0,1
16656,2010-02-07,70.0,HOMICIDE,27.0,74.0,1
17816,2010-02-10,51.0,HOMICIDE,22.0,98.0,1
18878,2010-02-13,19.0,HOMICIDE,21.0,70.0,1
19596,2010-02-14,74.0,HOMICIDE,19.0,30.0,1
19759,2010-02-15,27.0,HOMICIDE,17.0,92.0,1
20673,2010-02-17,40.0,HOMICIDE,29.0,60.0,1
21322,2010-02-18,76.0,HOMICIDE,32.0,19.0,1
21417,2010-02-19,17.0,HOMICIDE,31.0,28.0,1
22159,2010-02-20,67.0,HOMICIDE,35.0,66.0,1
22302,2010-02-21,24.0,HOMICIDE,35.0,85.0,1
23552,2010-02-24,20.0,HOMICIDE,25.0,46.0,1
24035,2010-02-25,27.0,HOMICIDE,23.0,92.0,1
25345,2010-02-28,32.0,HOMICIDE,35.0,96.0,1
25532,2010-02-28,67.0,HOMICIDE,35.0,60.0,1
25957,2010-03-01,61.0,HOMICIDE,32.0,93.0,1
26347,2010-03-02,48.0,HOMICIDE,28.0,65.0,1
26748,2010-03-03,41.0,HOMICIDE,32.0,41.0,1
28319,2010-03-07,7.0,HOMICIDE,36.0,88.0,1
28531,2010-03-07,45.0,HOMICIDE,36.0,52.0,1
28727,2010-03-08,7.0,HOMICIDE,39.0,88.0,1
30772,2010-03-12,24.0,HOMICIDE,48.0,85.0,1
31077,2010-03-12,69.0,HOMICIDE,48.0,37.0,1
32254,2010-03-15,45.0,HOMICIDE,44.0,52.0,1
33209,2010-03-17,40.0,HOMICIDE,48.0,60.0,1
33564,2010-03-18,26.0,HOMICIDE,51.0,73.0,1
33955,2010-03-19,15.0,HOMICIDE,52.0,35.0,1
34682,2010-03-20,55.0,HOMICIDE,35.0,84.0,1
35028,2010-03-21,40.0,HOMICIDE,38.0,60.0,1
35037,2010-03-21,41.0,HOMICIDE,38.0,41.0,1
36259,2010-03-24,24.0,HOMICIDE,44.0,85.0,1
36610,2010-03-24,72.0,HOMICIDE,44.0,48.0,1
36810,2010-03-25,30.0,HOMICIDE,38.0,87.0,1
36950,2010-03-25,55.0,HOMICIDE,38.0,84.0,1
37060,2010-03-25,70.0,HOMICIDE,38.0,74.0,1
37270,2010-03-26,30.0,HOMICIDE,34.0,87.0,1
37698,2010-03-27,26.0,HOMICIDE,41.0,73.0,2
37708,2010-03-27,27.0,HOMICIDE,41.0,92.0,1
37848,2010-03-27,50.0,HOMICIDE,41.0,62.0,1
38350,2010-03-28,64.0,HOMICIDE,45.0,80.0,1
38381,2010-03-28,67.0,HOMICIDE,45.0,66.0,1
38515,2010-03-29,17.0,HOMICIDE,38.0,28.0,1
38558,2010-03-29,24.0,HOMICIDE,38.0,85.0,1
39164,2010-03-30,45.0,HOMICIDE,47.0,52.0,1
39480,2010-03-31,26.0,HOMICIDE,64.0,73.0,1
39954,2010-04-01,26.0,HOMICIDE,69.0,73.0,1
40289,2010-04-02,1.0,HOMICIDE,70.0,47.0,1
40680,2010-04-02,65.0,HOMICIDE,70.0,89.0,1
40699,2010-04-02,67.0,HOMICIDE,70.0,66.0,1
40926,2010-04-03,30.0,HOMICIDE,54.0,87.0,1
41116,2010-04-03,65.0,HOMICIDE,54.0,89.0,1
42712,2010-04-07,30.0,HOMICIDE,43.0,87.0,1
43158,2010-04-08,31.0,HOMICIDE,37.0,20.0,1
43988,2010-04-10,17.0,HOMICIDE,56.0,28.0,1
44591,2010-04-11,39.0,HOMICIDE,54.0,55.0,1
44939,2010-04-12,24.0,HOMICIDE,57.0,85.0,1
44973,2010-04-12,27.0,HOMICIDE,57.0,92.0,1
45082,2010-04-12,42.0,HOMICIDE,57.0,75.0,1
45444,2010-04-13,28.0,HOMICIDE,56.0,83.0,1
46026,2010-04-14,45.0,HOMICIDE,63.0,52.0,1
46128,2010-04-14,64.0,HOMICIDE,63.0,80.0,4
46263,2010-04-15,7.0,HOMICIDE,72.0,88.0,1
46484,2010-04-15,33.0,HOMICIDE,72.0,76.0,1
46636,2010-04-15,59.0,HOMICIDE,72.0,91.0,1
46680,2010-04-15,65.0,HOMICIDE,72.0,89.0,1
46703,2010-04-15,67.0,HOMICIDE,72.0,66.0,2
46727,2010-04-15,70.0,HOMICIDE,72.0,74.0,1
47246,2010-04-16,74.0,HOMICIDE,54.0,30.0,1
47255,2010-04-16,76.0,HOMICIDE,54.0,19.0,1
47489,2010-04-17,40.0,HOMICIDE,48.0,60.0,1
47882,2010-04-18,30.0,HOMICIDE,44.0,87.0,2
48298,2010-04-19,28.0,HOMICIDE,46.0,83.0,1
48861,2010-04-20,41.0,HOMICIDE,51.0,41.0,1
48891,2010-04-20,45.0,HOMICIDE,51.0,52.0,1
49328,2010-04-21,40.0,HOMICIDE,52.0,60.0,1
49393,2010-04-21,56.0,HOMICIDE,52.0,61.0,3
49780,2010-04-22,40.0,HOMICIDE,49.0,60.0,1
50062,2010-04-23,13.0,HOMICIDE,52.0,33.0,1
50584,2010-04-24,24.0,HOMICIDE,56.0,85.0,1
51142,2010-04-25,41.0,HOMICIDE,54.0,41.0,1
51351,2010-04-26,4.0,HOMICIDE,55.0,57.0,1
53051,2010-04-29,50.0,HOMICIDE,63.0,62.0,1
53384,2010-04-30,29.0,HOMICIDE,72.0,15.0,1
53490,2010-04-30,45.0,HOMICIDE,72.0,52.0,1
53730,2010-05-01,9.0,HOMICIDE,64.0,58.0,1
54077,2010-05-01,64.0,HOMICIDE,64.0,80.0,1
54287,2010-05-02,25.0,HOMICIDE,61.0,10.0,2
54307,2010-05-02,27.0,HOMICIDE,61.0,92.0,1
56473,2010-05-06,66.0,HOMICIDE,55.0,94.0,1
56778,2010-05-07,38.0,HOMICIDE,52.0,3.0,1
57695,2010-05-09,42.0,HOMICIDE,48.0,75.0,1
57867,2010-05-09,72.0,HOMICIDE,48.0,48.0,1
