,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
31,2010-01-01,7.0,INTERFERENCE WITH PUBLIC OFFICER,11.0,58.0,1
300,2010-01-01,41.0,INTERFERENCE WITH PUBLIC OFFICER,11.0,41.0,1
420,2010-01-01,59.0,INTERFERENCE WITH PUBLIC OFFICER,11.0,91.0,1
778,2010-01-02,45.0,INTERFERENCE WITH PUBLIC OFFICER,7.0,52.0,1
867,2010-01-02,65.0,INTERFERENCE WITH PUBLIC OFFICER,7.0,89.0,1
879,2010-01-02,66.0,INTERFERENCE WITH PUBLIC OFFICER,7.0,94.0,1
1241,2010-01-03,59.0,INTERFERENCE WITH PUBLIC OFFICER,9.0,91.0,1
1288,2010-01-03,67.0,INTERFERENCE WITH PUBLIC OFFICER,9.0,66.0,1
1553,2010-01-04,37.0,INTERFERENCE WITH PUBLIC OFFICER,13.0,1.0,1
2754,2010-01-07,25.0,INTERFERENCE WITH PUBLIC OFFICER,19.0,10.0,1
3452,2010-01-08,66.0,INTERFERENCE WITH PUBLIC OFFICER,19.0,94.0,1
3599,2010-01-09,20.0,INTERFERENCE WITH PUBLIC OFFICER,14.0,46.0,1
3642,2010-01-09,26.0,INTERFERENCE WITH PUBLIC OFFICER,14.0,73.0,1
3822,2010-01-09,59.0,INTERFERENCE WITH PUBLIC OFFICER,14.0,91.0,1
4372,2010-01-11,15.0,INTERFERENCE WITH PUBLIC OFFICER,21.0,35.0,1
4460,2010-01-11,27.0,INTERFERENCE WITH PUBLIC OFFICER,21.0,92.0,1
5038,2010-01-12,47.0,INTERFERENCE WITH PUBLIC OFFICER,26.0,51.0,1
5066,2010-01-12,55.0,INTERFERENCE WITH PUBLIC OFFICER,26.0,84.0,1
5234,2010-01-13,10.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,39.0,1
5746,2010-01-14,18.0,INTERFERENCE WITH PUBLIC OFFICER,36.0,50.0,1
5837,2010-01-14,28.0,INTERFERENCE WITH PUBLIC OFFICER,36.0,83.0,1
5957,2010-01-14,45.0,INTERFERENCE WITH PUBLIC OFFICER,36.0,52.0,1
6313,2010-01-15,26.0,INTERFERENCE WITH PUBLIC OFFICER,30.0,73.0,3
6799,2010-01-16,27.0,INTERFERENCE WITH PUBLIC OFFICER,25.0,92.0,1
6844,2010-01-16,32.0,INTERFERENCE WITH PUBLIC OFFICER,25.0,96.0,1
6939,2010-01-16,50.0,INTERFERENCE WITH PUBLIC OFFICER,25.0,62.0,1
7233,2010-01-17,27.0,INTERFERENCE WITH PUBLIC OFFICER,24.0,92.0,1
7533,2010-01-18,3.0,INTERFERENCE WITH PUBLIC OFFICER,29.0,97.0,1
7664,2010-01-18,26.0,INTERFERENCE WITH PUBLIC OFFICER,29.0,73.0,1
8076,2010-01-19,24.0,INTERFERENCE WITH PUBLIC OFFICER,33.0,85.0,1
8611,2010-01-20,32.0,INTERFERENCE WITH PUBLIC OFFICER,29.0,96.0,1
8651,2010-01-20,39.0,INTERFERENCE WITH PUBLIC OFFICER,29.0,55.0,1
9121,2010-01-21,42.0,INTERFERENCE WITH PUBLIC OFFICER,33.0,75.0,1
9721,2010-01-22,67.0,INTERFERENCE WITH PUBLIC OFFICER,34.0,66.0,1
9917,2010-01-23,24.0,INTERFERENCE WITH PUBLIC OFFICER,39.0,85.0,1
9993,2010-01-23,32.0,INTERFERENCE WITH PUBLIC OFFICER,39.0,96.0,1
10137,2010-01-23,59.0,INTERFERENCE WITH PUBLIC OFFICER,39.0,91.0,1
10272,2010-01-24,8.0,INTERFERENCE WITH PUBLIC OFFICER,38.0,14.0,1
10602,2010-01-24,68.0,INTERFERENCE WITH PUBLIC OFFICER,38.0,2.0,1
11263,2010-01-26,31.0,INTERFERENCE WITH PUBLIC OFFICER,18.0,20.0,1
11557,2010-01-27,10.0,INTERFERENCE WITH PUBLIC OFFICER,16.0,39.0,1
11648,2010-01-27,26.0,INTERFERENCE WITH PUBLIC OFFICER,16.0,73.0,1
12349,2010-01-28,70.0,INTERFERENCE WITH PUBLIC OFFICER,12.0,74.0,1
12394,2010-01-29,4.0,INTERFERENCE WITH PUBLIC OFFICER,13.0,57.0,1
12422,2010-01-29,9.0,INTERFERENCE WITH PUBLIC OFFICER,13.0,58.0,1
12940,2010-01-30,26.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,73.0,1
13055,2010-01-30,45.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,52.0,1
13632,2010-01-31,70.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,74.0,1
13764,2010-02-01,20.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,46.0,1
13809,2010-02-01,26.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,73.0,1
13850,2010-02-01,30.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,87.0,1
14791,2010-02-03,41.0,INTERFERENCE WITH PUBLIC OFFICER,28.0,41.0,1
14947,2010-02-03,70.0,INTERFERENCE WITH PUBLIC OFFICER,28.0,74.0,1
14959,2010-02-03,72.0,INTERFERENCE WITH PUBLIC OFFICER,28.0,48.0,1
15059,2010-02-04,16.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,34.0,1
15154,2010-02-04,30.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,87.0,1
15162,2010-02-04,31.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,20.0,1
15256,2010-02-04,45.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,52.0,1
15319,2010-02-04,59.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,91.0,1
15369,2010-02-04,66.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,94.0,1
15562,2010-02-05,26.0,INTERFERENCE WITH PUBLIC OFFICER,33.0,73.0,1
15767,2010-02-05,59.0,INTERFERENCE WITH PUBLIC OFFICER,33.0,91.0,1
15919,2010-02-06,10.0,INTERFERENCE WITH PUBLIC OFFICER,28.0,39.0,1
16271,2010-02-06,70.0,INTERFERENCE WITH PUBLIC OFFICER,28.0,74.0,1
16399,2010-02-07,24.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,85.0,1
16590,2010-02-07,59.0,INTERFERENCE WITH PUBLIC OFFICER,27.0,91.0,1
16811,2010-02-08,26.0,INTERFERENCE WITH PUBLIC OFFICER,25.0,73.0,1
16828,2010-02-08,28.0,INTERFERENCE WITH PUBLIC OFFICER,25.0,83.0,1
17448,2010-02-09,64.0,INTERFERENCE WITH PUBLIC OFFICER,26.0,80.0,1
17800,2010-02-10,48.0,INTERFERENCE WITH PUBLIC OFFICER,22.0,65.0,1
18084,2010-02-11,26.0,INTERFERENCE WITH PUBLIC OFFICER,20.0,73.0,1
