,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
1264,2010-01-03,64.0,INTIMIDATION,9.0,80.0,1
1511,2010-01-04,29.0,INTIMIDATION,13.0,15.0,1
2347,2010-01-06,28.0,INTIMIDATION,15.0,83.0,1
2380,2010-01-06,32.0,INTIMIDATION,15.0,96.0,1
2403,2010-01-06,36.0,INTIMIDATION,15.0,21.0,1
2828,2010-01-07,33.0,INTIMIDATION,19.0,76.0,1
4983,2010-01-12,39.0,INTIMIDATION,26.0,55.0,1
5115,2010-01-12,64.0,INTIMIDATION,26.0,80.0,1
5451,2010-01-13,42.0,INTIMIDATION,27.0,75.0,1
5587,2010-01-13,66.0,INTIMIDATION,27.0,94.0,1
6194,2010-01-15,9.0,INTIMIDATION,30.0,58.0,1
6479,2010-01-15,47.0,INTIMIDATION,30.0,51.0,1
7432,2010-01-17,63.0,INTIMIDATION,24.0,56.0,1
8534,2010-01-20,24.0,INTIMIDATION,29.0,85.0,1
8698,2010-01-20,46.0,INTIMIDATION,29.0,6.0,1
9264,2010-01-21,67.0,INTIMIDATION,33.0,66.0,1
9494,2010-01-22,29.0,INTIMIDATION,34.0,15.0,1
9552,2010-01-22,37.0,INTIMIDATION,34.0,1.0,1
10899,2010-01-25,42.0,INTIMIDATION,26.0,75.0,1
10913,2010-01-25,45.0,INTIMIDATION,26.0,52.0,1
11110,2010-01-26,9.0,INTIMIDATION,18.0,58.0,1
12577,2010-01-29,32.0,INTIMIDATION,13.0,96.0,1
12766,2010-01-29,68.0,INTIMIDATION,13.0,2.0,1
14645,2010-02-03,23.0,INTIMIDATION,28.0,23.0,1
15384,2010-02-04,68.0,INTIMIDATION,27.0,2.0,1
17921,2010-02-10,70.0,INTIMIDATION,22.0,74.0,1
19472,2010-02-14,50.0,INTIMIDATION,19.0,62.0,1
19540,2010-02-14,65.0,INTIMIDATION,19.0,89.0,1
19999,2010-02-15,70.0,INTIMIDATION,17.0,74.0,1
20714,2010-02-17,48.0,INTIMIDATION,29.0,65.0,1
21957,2010-02-20,32.0,INTIMIDATION,35.0,96.0,1
22483,2010-02-21,57.0,INTIMIDATION,35.0,5.0,1
22864,2010-02-22,51.0,INTIMIDATION,31.0,98.0,1
23144,2010-02-23,24.0,INTIMIDATION,28.0,85.0,1
23306,2010-02-23,49.0,INTIMIDATION,28.0,64.0,1
26019,2010-03-01,67.0,INTIMIDATION,32.0,66.0,1
26727,2010-03-03,38.0,INTIMIDATION,32.0,3.0,1
27217,2010-03-04,42.0,INTIMIDATION,32.0,75.0,1
27244,2010-03-04,47.0,INTIMIDATION,32.0,51.0,1
27712,2010-03-05,48.0,INTIMIDATION,31.0,65.0,1
28227,2010-03-06,64.0,INTIMIDATION,33.0,80.0,1
28989,2010-03-08,45.0,INTIMIDATION,39.0,52.0,1
30605,2010-03-11,70.0,INTIMIDATION,52.0,74.0,1
31011,2010-03-12,61.0,INTIMIDATION,48.0,93.0,1
32200,2010-03-15,37.0,INTIMIDATION,44.0,1.0,1
32848,2010-03-16,64.0,INTIMIDATION,48.0,80.0,1
33551,2010-03-18,25.0,INTIMIDATION,51.0,10.0,1
35432,2010-03-22,36.0,INTIMIDATION,42.0,21.0,1
35968,2010-03-23,49.0,INTIMIDATION,44.0,64.0,1
38206,2010-03-28,37.0,INTIMIDATION,45.0,1.0,1
38231,2010-03-28,40.0,INTIMIDATION,45.0,60.0,1
38692,2010-03-29,42.0,INTIMIDATION,38.0,75.0,2
39092,2010-03-30,32.0,INTIMIDATION,47.0,96.0,1
39174,2010-03-30,47.0,INTIMIDATION,47.0,51.0,1
39323,2010-03-30,74.0,INTIMIDATION,47.0,30.0,1
41552,2010-04-04,66.0,INTIMIDATION,58.0,94.0,1
41790,2010-04-05,32.0,INTIMIDATION,61.0,96.0,1
42005,2010-04-05,67.0,INTIMIDATION,61.0,66.0,1
42270,2010-04-06,32.0,INTIMIDATION,62.0,96.0,1
43244,2010-04-08,45.0,INTIMIDATION,37.0,52.0,1
43660,2010-04-09,37.0,INTIMIDATION,43.0,1.0,1
43888,2010-04-09,73.0,INTIMIDATION,43.0,16.0,1
44900,2010-04-12,19.0,INTIMIDATION,57.0,70.0,1
