,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
972,2010-01-03,9.0,KIDNAPPING,9.0,62.0,2
1662,2010-01-04,59.0,KIDNAPPING,13.0,91.0,1
2149,2010-01-05,66.0,KIDNAPPING,18.0,94.0,1
2171,2010-01-05,69.0,KIDNAPPING,18.0,37.0,1
3042,2010-01-07,74.0,KIDNAPPING,19.0,30.0,1
3075,2010-01-08,5.0,KIDNAPPING,19.0,26.0,1
3269,2010-01-08,36.0,KIDNAPPING,19.0,21.0,1
3291,2010-01-08,39.0,KIDNAPPING,19.0,55.0,1
3506,2010-01-08,74.0,KIDNAPPING,19.0,30.0,1
3682,2010-01-09,30.0,KIDNAPPING,14.0,87.0,1
4283,2010-01-10,71.0,KIDNAPPING,9.0,12.0,1
4461,2010-01-11,27.0,KIDNAPPING,21.0,92.0,1
4564,2010-01-11,44.0,KIDNAPPING,21.0,38.0,1
4835,2010-01-12,19.0,KIDNAPPING,26.0,70.0,1
5365,2010-01-13,30.0,KIDNAPPING,27.0,87.0,1
5631,2010-01-13,72.0,KIDNAPPING,27.0,48.0,1
6272,2010-01-15,22.0,KIDNAPPING,30.0,42.0,1
6326,2010-01-15,27.0,KIDNAPPING,30.0,92.0,1
7370,2010-01-17,49.0,KIDNAPPING,24.0,64.0,1
7598,2010-01-18,16.0,KIDNAPPING,29.0,42.0,1
8381,2010-01-19,71.0,KIDNAPPING,33.0,12.0,1
8500,2010-01-20,19.0,KIDNAPPING,29.0,70.0,1
8817,2010-01-20,67.0,KIDNAPPING,29.0,66.0,1
8965,2010-01-21,21.0,KIDNAPPING,33.0,71.0,1
9302,2010-01-21,72.0,KIDNAPPING,33.0,48.0,1
9644,2010-01-22,55.0,KIDNAPPING,34.0,84.0,1
11169,2010-01-26,21.0,KIDNAPPING,18.0,71.0,1
12042,2010-01-28,20.0,KIDNAPPING,12.0,46.0,1
12210,2010-01-28,45.0,KIDNAPPING,12.0,52.0,1
12522,2010-01-29,26.0,KIDNAPPING,13.0,73.0,1
