,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
276,2010-01-01,38.0,LIQUOR LAW VIOLATION,11.0,3.0,1
521,2010-01-01,70.0,LIQUOR LAW VIOLATION,11.0,74.0,1
610,2010-01-02,15.0,LIQUOR LAW VIOLATION,7.0,35.0,1
1091,2010-01-03,30.0,LIQUOR LAW VIOLATION,9.0,87.0,1
1242,2010-01-03,59.0,LIQUOR LAW VIOLATION,9.0,91.0,1
1641,2010-01-04,55.0,LIQUOR LAW VIOLATION,13.0,84.0,2
2290,2010-01-06,21.0,LIQUOR LAW VIOLATION,15.0,71.0,1
2357,2010-01-06,29.0,LIQUOR LAW VIOLATION,15.0,15.0,1
2426,2010-01-06,39.0,LIQUOR LAW VIOLATION,15.0,58.0,1
2600,2010-01-06,70.0,LIQUOR LAW VIOLATION,15.0,74.0,1
2787,2010-01-07,28.0,LIQUOR LAW VIOLATION,19.0,83.0,1
3555,2010-01-09,11.0,LIQUOR LAW VIOLATION,14.0,25.0,1
3657,2010-01-09,28.0,LIQUOR LAW VIOLATION,14.0,83.0,1
4106,2010-01-10,37.0,LIQUOR LAW VIOLATION,9.0,1.0,1
4380,2010-01-11,16.0,LIQUOR LAW VIOLATION,21.0,34.0,1
5093,2010-01-12,60.0,LIQUOR LAW VIOLATION,26.0,69.0,1
5512,2010-01-13,55.0,LIQUOR LAW VIOLATION,27.0,84.0,1
5815,2010-01-14,26.0,LIQUOR LAW VIOLATION,36.0,73.0,1
5851,2010-01-14,29.0,LIQUOR LAW VIOLATION,36.0,15.0,1
6082,2010-01-14,66.0,LIQUOR LAW VIOLATION,36.0,94.0,1
6258,2010-01-15,20.0,LIQUOR LAW VIOLATION,30.0,46.0,1
6521,2010-01-15,57.0,LIQUOR LAW VIOLATION,30.0,5.0,1
6742,2010-01-16,20.0,LIQUOR LAW VIOLATION,25.0,46.0,1
6767,2010-01-16,24.0,LIQUOR LAW VIOLATION,25.0,85.0,1
6818,2010-01-16,29.0,LIQUOR LAW VIOLATION,25.0,15.0,1
6838,2010-01-16,31.0,LIQUOR LAW VIOLATION,25.0,20.0,1
6899,2010-01-16,42.0,LIQUOR LAW VIOLATION,25.0,75.0,1
7038,2010-01-16,67.0,LIQUOR LAW VIOLATION,25.0,66.0,1
7266,2010-01-17,31.0,LIQUOR LAW VIOLATION,24.0,20.0,1
7630,2010-01-18,22.0,LIQUOR LAW VIOLATION,29.0,42.0,1
7644,2010-01-18,24.0,LIQUOR LAW VIOLATION,29.0,85.0,1
8168,2010-01-19,33.0,LIQUOR LAW VIOLATION,33.0,76.0,1
8179,2010-01-19,37.0,LIQUOR LAW VIOLATION,33.0,1.0,1
9061,2010-01-21,32.0,LIQUOR LAW VIOLATION,33.0,96.0,1
9390,2010-01-22,15.0,LIQUOR LAW VIOLATION,34.0,70.0,1
9449,2010-01-22,24.0,LIQUOR LAW VIOLATION,34.0,85.0,1
9645,2010-01-22,55.0,LIQUOR LAW VIOLATION,34.0,84.0,1
9851,2010-01-23,14.0,LIQUOR LAW VIOLATION,39.0,53.0,1
9929,2010-01-23,25.0,LIQUOR LAW VIOLATION,39.0,10.0,1
9984,2010-01-23,31.0,LIQUOR LAW VIOLATION,39.0,20.0,1
10112,2010-01-23,55.0,LIQUOR LAW VIOLATION,39.0,84.0,1
10288,2010-01-24,11.0,LIQUOR LAW VIOLATION,38.0,25.0,1
10836,2010-01-25,32.0,LIQUOR LAW VIOLATION,26.0,96.0,1
10844,2010-01-25,33.0,LIQUOR LAW VIOLATION,26.0,76.0,1
11297,2010-01-26,37.0,LIQUOR LAW VIOLATION,18.0,1.0,1
11596,2010-01-27,19.0,LIQUOR LAW VIOLATION,16.0,70.0,1
11937,2010-01-27,72.0,LIQUOR LAW VIOLATION,16.0,48.0,1
12329,2010-01-28,67.0,LIQUOR LAW VIOLATION,12.0,60.0,1
12415,2010-01-29,8.0,LIQUOR LAW VIOLATION,13.0,14.0,1
12491,2010-01-29,23.0,LIQUOR LAW VIOLATION,13.0,23.0,1
12603,2010-01-29,37.0,LIQUOR LAW VIOLATION,13.0,1.0,1
12809,2010-01-29,76.0,LIQUOR LAW VIOLATION,13.0,19.0,1
12862,2010-01-30,13.0,LIQUOR LAW VIOLATION,22.0,33.0,1
12974,2010-01-30,30.0,LIQUOR LAW VIOLATION,22.0,87.0,1
13206,2010-01-30,70.0,LIQUOR LAW VIOLATION,22.0,74.0,1
13382,2010-01-31,27.0,LIQUOR LAW VIOLATION,22.0,92.0,1
13505,2010-01-31,48.0,LIQUOR LAW VIOLATION,22.0,65.0,1
14245,2010-02-02,25.0,LIQUOR LAW VIOLATION,29.0,10.0,1
14335,2010-02-02,39.0,LIQUOR LAW VIOLATION,29.0,55.0,1
14594,2010-02-03,14.0,LIQUOR LAW VIOLATION,28.0,53.0,1
14891,2010-02-03,61.0,LIQUOR LAW VIOLATION,28.0,93.0,1
15088,2010-02-04,23.0,LIQUOR LAW VIOLATION,27.0,23.0,1
15107,2010-02-04,25.0,LIQUOR LAW VIOLATION,27.0,10.0,1
15509,2010-02-05,19.0,LIQUOR LAW VIOLATION,33.0,70.0,1
15551,2010-02-05,25.0,LIQUOR LAW VIOLATION,33.0,10.0,1
15563,2010-02-05,26.0,LIQUOR LAW VIOLATION,33.0,73.0,1
15894,2010-02-06,6.0,LIQUOR LAW VIOLATION,28.0,17.0,1
15945,2010-02-06,16.0,LIQUOR LAW VIOLATION,28.0,34.0,1
15959,2010-02-06,19.0,LIQUOR LAW VIOLATION,28.0,70.0,1
16108,2010-02-06,40.0,LIQUOR LAW VIOLATION,28.0,60.0,1
16202,2010-02-06,59.0,LIQUOR LAW VIOLATION,28.0,91.0,1
16733,2010-02-08,14.0,LIQUOR LAW VIOLATION,25.0,53.0,2
16837,2010-02-08,29.0,LIQUOR LAW VIOLATION,25.0,15.0,1
16869,2010-02-08,33.0,LIQUOR LAW VIOLATION,25.0,76.0,1
17165,2010-02-09,15.0,LIQUOR LAW VIOLATION,26.0,35.0,1
17435,2010-02-09,61.0,LIQUOR LAW VIOLATION,26.0,93.0,1
17669,2010-02-10,26.0,LIQUOR LAW VIOLATION,22.0,73.0,1
17721,2010-02-10,33.0,LIQUOR LAW VIOLATION,22.0,76.0,1
17805,2010-02-10,49.0,LIQUOR LAW VIOLATION,22.0,64.0,2
18249,2010-02-11,56.0,LIQUOR LAW VIOLATION,20.0,61.0,1
18445,2010-02-12,15.0,LIQUOR LAW VIOLATION,21.0,35.0,1
