,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
583892,2013-08-29,47.0,NON - CRIMINAL,78.0,51.0,1
608005,2013-10-28,25.0,NON - CRIMINAL,44.0,10.0,1
619810,2013-11-27,48.0,NON - CRIMINAL,21.0,65.0,1
667734,2014-04-10,33.0,NON - CRIMINAL,54.0,76.0,1
685522,2014-05-25,45.0,NON - CRIMINAL,67.0,52.0,1
689932,2014-06-05,32.0,NON - CRIMINAL,64.0,96.0,1
700062,2014-06-30,15.0,NON - CRIMINAL,77.0,35.0,1
701173,2014-07-02,64.0,NON - CRIMINAL,63.0,80.0,1
709664,2014-07-23,64.0,NON - CRIMINAL,67.0,80.0,1
721037,2014-08-20,55.0,NON - CRIMINAL,76.0,84.0,1
723846,2014-08-27,64.0,NON - CRIMINAL,75.0,80.0,1
729738,2014-09-11,47.0,NON - CRIMINAL,53.0,51.0,1
732500,2014-09-18,64.0,NON - CRIMINAL,62.0,80.0,1
773480,2015-01-06,11.0,NON - CRIMINAL,3.0,25.0,1
789241,2015-02-20,62.0,NON - CRIMINAL,6.0,29.0,1
816783,2015-05-07,30.0,NON - CRIMINAL,68.0,87.0,1
817020,2015-05-08,3.0,NON - CRIMINAL,72.0,97.0,1
819410,2015-05-14,37.0,NON - CRIMINAL,55.0,1.0,1
830785,2015-06-12,53.0,NON - CRIMINAL,62.0,32.0,1
832450,2015-06-16,69.0,NON - CRIMINAL,64.0,37.0,1
835145,2015-06-23,75.0,NON - CRIMINAL,73.0,24.0,1
835241,2015-06-24,23.0,NON - CRIMINAL,70.0,23.0,1
835586,2015-06-25,11.0,NON - CRIMINAL,70.0,25.0,1
835843,2015-06-25,61.0,NON - CRIMINAL,70.0,93.0,1
835931,2015-06-26,1.0,NON - CRIMINAL,63.0,47.0,1
850225,2015-08-01,69.0,NON - CRIMINAL,76.0,37.0,1
857190,2015-08-19,64.0,NON - CRIMINAL,69.0,80.0,1
862107,2015-09-01,28.0,NON - CRIMINAL,78.0,83.0,1
866693,2015-09-13,26.0,NON - CRIMINAL,59.0,73.0,1
868954,2015-09-19,11.0,NON - CRIMINAL,62.0,25.0,1
880461,2015-10-19,30.0,NON - CRIMINAL,60.0,87.0,1
886296,2015-11-03,58.0,NON - CRIMINAL,57.0,43.0,1
900105,2015-12-12,69.0,NON - CRIMINAL,52.0,37.0,1
916545,2016-01-29,29.0,NON - CRIMINAL,28.0,15.0,1
918110,2016-02-02,39.0,NON - CRIMINAL,35.0,55.0,1
919472,2016-02-06,24.0,NON - CRIMINAL,32.0,85.0,1
920818,2016-02-10,27.0,NON - CRIMINAL,14.0,92.0,1
921960,2016-02-13,58.0,NON - CRIMINAL,10.0,43.0,1
