,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
92455,2010-07-22,31.0,NON-CRIMINAL,80.0,20.0,1
379926,2012-05-05,37.0,NON-CRIMINAL,56.0,1.0,1
380774,2012-05-07,38.0,NON-CRIMINAL,58.0,3.0,1
407965,2012-07-06,57.0,NON-CRIMINAL,93.0,5.0,1
413795,2012-07-19,37.0,NON-CRIMINAL,77.0,1.0,1
414693,2012-07-21,37.0,NON-CRIMINAL,76.0,1.0,1
430633,2012-08-25,75.0,NON-CRIMINAL,80.0,24.0,1
518289,2013-03-26,39.0,NON-CRIMINAL,36.0,55.0,1
533099,2013-05-01,57.0,NON-CRIMINAL,70.0,5.0,1
617994,2013-11-22,37.0,NON-CRIMINAL,35.0,1.0,1
627163,2013-12-17,53.0,NON-CRIMINAL,25.0,32.0,1
701957,2014-07-04,57.0,NON-CRIMINAL,69.0,5.0,1
708331,2014-07-20,38.0,NON-CRIMINAL,71.0,3.0,1
710317,2014-07-25,32.0,NON-CRIMINAL,65.0,96.0,1
710951,2014-07-26,70.0,NON-CRIMINAL,76.0,74.0,1
713677,2014-08-02,37.0,NON-CRIMINAL,73.0,1.0,1
721343,2014-08-21,37.0,NON-CRIMINAL,75.0,1.0,1
722991,2014-08-25,47.0,NON-CRIMINAL,80.0,51.0,1
728619,2014-09-08,57.0,NON-CRIMINAL,66.0,5.0,1
729157,2014-09-10,10.0,NON-CRIMINAL,68.0,39.0,1
729501,2014-09-11,6.0,NON-CRIMINAL,53.0,17.0,1
744111,2014-10-18,19.0,NON-CRIMINAL,43.0,70.0,1
746154,2014-10-23,36.0,NON-CRIMINAL,48.0,21.0,1
747226,2014-10-26,11.0,NON-CRIMINAL,53.0,25.0,1
758769,2014-11-25,57.0,NON-CRIMINAL,22.0,5.0,1
759349,2014-11-27,38.0,NON-CRIMINAL,21.0,3.0,1
762245,2014-12-05,31.0,NON-CRIMINAL,36.0,20.0,1
780084,2015-01-24,52.0,NON-CRIMINAL,36.0,44.0,1
787532,2015-02-15,32.0,NON-CRIMINAL,6.0,96.0,1
837406,2015-06-29,63.0,NON-CRIMINAL,70.0,56.0,1
840724,2015-07-08,25.0,NON-CRIMINAL,61.0,10.0,1
859834,2015-08-26,34.0,NON-CRIMINAL,62.0,7.0,1
860040,2015-08-26,75.0,NON-CRIMINAL,62.0,24.0,1
873230,2015-09-30,25.0,NON-CRIMINAL,57.0,10.0,1
879578,2015-10-16,75.0,NON-CRIMINAL,46.0,24.0,1
883161,2015-10-26,37.0,NON-CRIMINAL,49.0,1.0,1
883318,2015-10-26,68.0,NON-CRIMINAL,49.0,5.0,1
894313,2015-11-26,37.0,NON-CRIMINAL,54.0,1.0,1
900450,2015-12-13,75.0,NON-CRIMINAL,55.0,24.0,1
907862,2016-01-04,57.0,NON-CRIMINAL,27.0,5.0,1
910888,2016-01-13,35.0,NON-CRIMINAL,12.0,82.0,1
920054,2016-02-07,75.0,NON-CRIMINAL,38.0,24.0,1
920762,2016-02-10,19.0,NON-CRIMINAL,14.0,70.0,1
921633,2016-02-12,58.0,NON-CRIMINAL,15.0,43.0,1
923161,2016-02-17,32.0,NON-CRIMINAL,28.0,96.0,1
926596,2016-02-27,14.0,NON-CRIMINAL,41.0,53.0,1
928033,2016-03-02,1.0,NON-CRIMINAL,22.0,47.0,1
930098,2016-03-07,53.0,NON-CRIMINAL,54.0,32.0,1
931501,2016-03-11,38.0,NON-CRIMINAL,45.0,3.0,1
933057,2016-03-15,64.0,NON-CRIMINAL,52.0,80.0,1
935136,2016-03-21,30.0,NON-CRIMINAL,39.0,87.0,1
936737,2016-03-25,57.0,NON-CRIMINAL,38.0,5.0,1
938960,2016-03-31,54.0,NON-CRIMINAL,56.0,67.0,1
940749,2016-04-05,38.0,NON-CRIMINAL,35.0,3.0,1
948599,2016-04-26,64.0,NON-CRIMINAL,55.0,80.0,1
950103,2016-05-01,6.0,NON-CRIMINAL,46.0,17.0,1
953343,2016-05-09,38.0,NON-CRIMINAL,54.0,3.0,1
957329,2016-05-20,1.0,NON-CRIMINAL,56.0,47.0,1
965728,2016-06-10,38.0,NON-CRIMINAL,77.0,3.0,1
966440,2016-06-12,31.0,NON-CRIMINAL,69.0,20.0,1
970823,2016-06-23,37.0,NON-CRIMINAL,71.0,1.0,1
971490,2016-06-25,12.0,NON-CRIMINAL,77.0,11.0,1
972603,2016-06-27,67.0,NON-CRIMINAL,80.0,66.0,1
976580,2016-07-07,56.0,NON-CRIMINAL,77.0,61.0,1
986443,2016-08-02,11.0,NON-CRIMINAL,77.0,25.0,1
