,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
6234,2010-01-15,16.0,OBSCENITY,30.0,34.0,1
20215,2010-02-16,33.0,OBSCENITY,29.0,76.0,2
21850,2010-02-20,14.0,OBSCENITY,35.0,53.0,1
23456,2010-02-23,76.0,OBSCENITY,28.0,19.0,1
28886,2010-03-08,29.0,OBSCENITY,39.0,15.0,1
32152,2010-03-15,29.0,OBSCENITY,44.0,15.0,1
43612,2010-04-09,29.0,OBSCENITY,43.0,15.0,1
45792,2010-04-14,10.0,OBSCENITY,63.0,39.0,1
50719,2010-04-24,42.0,OBSCENITY,56.0,75.0,1
56575,2010-05-07,8.0,OBSCENITY,52.0,14.0,1
60504,2010-05-15,30.0,OBSCENITY,52.0,87.0,1
66968,2010-05-29,4.0,OBSCENITY,73.0,57.0,1
69376,2010-06-03,20.0,OBSCENITY,64.0,46.0,1
70618,2010-06-05,66.0,OBSCENITY,70.0,94.0,1
76876,2010-06-19,23.0,OBSCENITY,76.0,23.0,1
80758,2010-06-27,41.0,OBSCENITY,79.0,41.0,1
82984,2010-07-02,15.0,OBSCENITY,71.0,35.0,1
84418,2010-07-05,26.0,OBSCENITY,85.0,73.0,2
87556,2010-07-12,5.0,OBSCENITY,75.0,26.0,1
113541,2010-09-05,10.0,OBSCENITY,63.0,39.0,1
113666,2010-09-05,29.0,OBSCENITY,63.0,15.0,1
119479,2010-09-17,64.0,OBSCENITY,62.0,80.0,1
130866,2010-10-11,77.0,OBSCENITY,68.0,8.0,1
130993,2010-10-12,23.0,OBSCENITY,64.0,23.0,1
132447,2010-10-15,25.0,OBSCENITY,54.0,10.0,1
135872,2010-10-22,60.0,OBSCENITY,49.0,69.0,1
141774,2010-11-04,53.0,OBSCENITY,45.0,32.0,1
147050,2010-11-16,29.0,OBSCENITY,41.0,15.0,1
147260,2010-11-16,66.0,OBSCENITY,41.0,94.0,1
155351,2010-12-05,62.0,OBSCENITY,19.0,29.0,1
164893,2010-12-29,65.0,OBSCENITY,23.0,89.0,1
169721,2011-01-10,20.0,OBSCENITY,26.0,46.0,1
172132,2011-01-15,60.0,OBSCENITY,19.0,69.0,1
175215,2011-01-23,20.0,OBSCENITY,12.0,46.0,1
180248,2011-02-05,25.0,OBSCENITY,16.0,10.0,1
180361,2011-02-05,42.0,OBSCENITY,16.0,75.0,1
182835,2011-02-11,67.0,OBSCENITY,18.0,66.0,1
189091,2011-02-26,69.0,OBSCENITY,29.0,37.0,2
191302,2011-03-04,8.0,OBSCENITY,45.0,14.0,1
196283,2011-03-15,63.0,OBSCENITY,35.0,56.0,1
197181,2011-03-17,56.0,OBSCENITY,58.0,61.0,1
197479,2011-03-18,28.0,OBSCENITY,44.0,83.0,1
202012,2011-03-29,5.0,OBSCENITY,33.0,26.0,1
205369,2011-04-05,32.0,OBSCENITY,44.0,96.0,1
207672,2011-04-10,34.0,OBSCENITY,70.0,7.0,1
209502,2011-04-14,33.0,OBSCENITY,47.0,76.0,1
213008,2011-04-22,58.0,OBSCENITY,43.0,43.0,1
219069,2011-05-06,13.0,OBSCENITY,56.0,33.0,1
219651,2011-05-07,30.0,OBSCENITY,52.0,87.0,1
223202,2011-05-15,13.0,OBSCENITY,44.0,33.0,1
234590,2011-06-08,38.0,OBSCENITY,81.0,3.0,1
243867,2011-06-28,40.0,OBSCENITY,72.0,60.0,1
243900,2011-06-28,45.0,OBSCENITY,72.0,52.0,1
244614,2011-06-30,9.0,OBSCENITY,74.0,58.0,1
254405,2011-07-20,67.0,OBSCENITY,86.0,66.0,1
255875,2011-07-24,9.0,OBSCENITY,80.0,58.0,1
257877,2011-07-28,29.0,OBSCENITY,80.0,15.0,1
278106,2011-09-10,4.0,OBSCENITY,67.0,57.0,1
278985,2011-09-11,74.0,OBSCENITY,70.0,30.0,1
280723,2011-09-15,56.0,OBSCENITY,51.0,61.0,1
282305,2011-09-19,19.0,OBSCENITY,62.0,70.0,1
286207,2011-09-27,64.0,OBSCENITY,59.0,80.0,1
287682,2011-10-01,10.0,OBSCENITY,49.0,39.0,1
295740,2011-10-19,24.0,OBSCENITY,47.0,85.0,1
298006,2011-10-24,30.0,OBSCENITY,54.0,87.0,1
299787,2011-10-28,22.0,OBSCENITY,45.0,42.0,1
302402,2011-11-02,66.0,OBSCENITY,57.0,94.0,1
311987,2011-11-25,26.0,OBSCENITY,50.0,73.0,1
312350,2011-11-26,10.0,OBSCENITY,51.0,39.0,1
314793,2011-12-01,62.0,OBSCENITY,37.0,29.0,1
330105,2012-01-07,26.0,OBSCENITY,36.0,73.0,1
332315,2012-01-12,55.0,OBSCENITY,28.0,84.0,1
334201,2012-01-17,40.0,OBSCENITY,28.0,60.0,1
337934,2012-01-26,67.0,OBSCENITY,35.0,66.0,1
341426,2012-02-04,9.0,OBSCENITY,36.0,58.0,1
354030,2012-03-06,36.0,OBSCENITY,50.0,25.0,1
359657,2012-03-19,38.0,OBSCENITY,70.0,3.0,1
363497,2012-03-28,24.0,OBSCENITY,57.0,85.0,1
366798,2012-04-04,75.0,OBSCENITY,52.0,24.0,1
369399,2012-04-11,19.0,OBSCENITY,43.0,70.0,1
385389,2012-05-17,63.0,OBSCENITY,60.0,56.0,1
388279,2012-05-24,24.0,OBSCENITY,77.0,85.0,1
388320,2012-05-24,29.0,OBSCENITY,77.0,15.0,1
428255,2012-08-20,55.0,OBSCENITY,66.0,84.0,1
429166,2012-08-22,62.0,OBSCENITY,70.0,29.0,1
434106,2012-09-02,57.0,OBSCENITY,78.0,5.0,1
435144,2012-09-05,20.0,OBSCENITY,75.0,46.0,1
437203,2012-09-09,68.0,OBSCENITY,64.0,2.0,1
446608,2012-10-01,55.0,OBSCENITY,57.0,84.0,1
457154,2012-10-26,26.0,OBSCENITY,44.0,73.0,1
462383,2012-11-07,59.0,OBSCENITY,44.0,91.0,1
470142,2012-11-26,31.0,OBSCENITY,30.0,20.0,1
470533,2012-11-27,31.0,OBSCENITY,25.0,20.0,1
472260,2012-12-01,31.0,OBSCENITY,44.0,20.0,1
476739,2012-12-12,10.0,OBSCENITY,37.0,39.0,1
477642,2012-12-14,25.0,OBSCENITY,38.0,85.0,1
485012,2013-01-01,73.0,OBSCENITY,18.0,16.0,1
486728,2013-01-06,26.0,OBSCENITY,27.0,73.0,1
500517,2013-02-09,39.0,OBSCENITY,26.0,55.0,1
500885,2013-02-10,35.0,OBSCENITY,40.0,82.0,1
510408,2013-03-06,61.0,OBSCENITY,31.0,93.0,1
520866,2013-04-01,66.0,OBSCENITY,35.0,94.0,1
544699,2013-05-29,17.0,OBSCENITY,74.0,28.0,1
544719,2013-05-29,21.0,OBSCENITY,74.0,71.0,1
553062,2013-06-17,65.0,OBSCENITY,74.0,89.0,1
553900,2013-06-19,58.0,OBSCENITY,64.0,43.0,1
556263,2013-06-25,28.0,OBSCENITY,76.0,83.0,1
560325,2013-07-04,61.0,OBSCENITY,70.0,93.0,1
564031,2013-07-13,57.0,OBSCENITY,73.0,5.0,1
567313,2013-07-21,33.0,OBSCENITY,78.0,76.0,1
567993,2013-07-23,1.0,OBSCENITY,71.0,47.0,1
570731,2013-07-29,29.0,OBSCENITY,67.0,15.0,1
571323,2013-07-30,61.0,OBSCENITY,66.0,93.0,1
574195,2013-08-06,44.0,OBSCENITY,75.0,38.0,1
580833,2013-08-22,26.0,OBSCENITY,73.0,73.0,1
585237,2013-09-01,64.0,OBSCENITY,75.0,93.0,1
591345,2013-09-16,38.0,OBSCENITY,58.0,3.0,1
602038,2013-10-12,65.0,OBSCENITY,60.0,89.0,1
613349,2013-11-10,51.0,OBSCENITY,42.0,98.0,1
613731,2013-11-11,58.0,OBSCENITY,36.0,43.0,1
630626,2013-12-27,37.0,OBSCENITY,31.0,1.0,1
644239,2014-02-04,69.0,OBSCENITY,16.0,37.0,1
654587,2014-03-07,7.0,OBSCENITY,30.0,88.0,1
655694,2014-03-10,7.0,OBSCENITY,47.0,88.0,1
655922,2014-03-10,45.0,OBSCENITY,47.0,52.0,1
657714,2014-03-15,24.0,OBSCENITY,34.0,85.0,1
660240,2014-03-21,64.0,OBSCENITY,44.0,80.0,1
674895,2014-04-29,20.0,OBSCENITY,53.0,46.0,1
674983,2014-04-29,32.0,OBSCENITY,53.0,96.0,1
676209,2014-05-02,28.0,OBSCENITY,50.0,83.0,1
679831,2014-05-11,36.0,OBSCENITY,67.0,21.0,1
680162,2014-05-12,27.0,OBSCENITY,74.0,92.0,1
682528,2014-05-18,22.0,OBSCENITY,58.0,42.0,1
694108,2014-06-15,55.0,OBSCENITY,72.0,84.0,1
695995,2014-06-20,22.0,OBSCENITY,74.0,42.0,1
699657,2014-06-29,15.0,OBSCENITY,77.0,35.0,1
701599,2014-07-03,65.0,OBSCENITY,66.0,89.0,1
708375,2014-07-20,47.0,OBSCENITY,71.0,51.0,1
709626,2014-07-23,57.0,OBSCENITY,67.0,5.0,1
710464,2014-07-25,59.0,OBSCENITY,65.0,91.0,1
725977,2014-09-01,71.0,OBSCENITY,77.0,12.0,1
737448,2014-09-30,70.0,OBSCENITY,53.0,74.0,1
737527,2014-10-01,11.0,OBSCENITY,60.0,25.0,2
737543,2014-10-01,15.0,OBSCENITY,60.0,35.0,1
753471,2014-11-10,74.0,OBSCENITY,52.0,30.0,1
755998,2014-11-17,72.0,OBSCENITY,16.0,48.0,1
759318,2014-11-27,29.0,OBSCENITY,21.0,15.0,1
759619,2014-11-28,29.0,OBSCENITY,26.0,15.0,2
760903,2014-12-01,61.0,OBSCENITY,22.0,93.0,1
761839,2014-12-04,29.0,OBSCENITY,29.0,15.0,1
763709,2014-12-09,30.0,OBSCENITY,35.0,87.0,1
764387,2014-12-11,25.0,OBSCENITY,28.0,10.0,1
767353,2014-12-19,28.0,OBSCENITY,30.0,83.0,1
770435,2014-12-28,28.0,OBSCENITY,29.0,83.0,1
770591,2014-12-28,61.0,OBSCENITY,29.0,93.0,1
771691,2015-01-01,4.0,OBSCENITY,23.0,57.0,1
771810,2015-01-01,25.0,OBSCENITY,23.0,10.0,1
772063,2015-01-01,65.0,OBSCENITY,23.0,89.0,1
772481,2015-01-02,72.0,OBSCENITY,25.0,48.0,1
775618,2015-01-12,64.0,OBSCENITY,22.0,80.0,1
785893,2015-02-10,45.0,OBSCENITY,24.0,52.0,1
787300,2015-02-14,50.0,OBSCENITY,14.0,62.0,1
789085,2015-02-20,28.0,OBSCENITY,6.0,83.0,1
792327,2015-03-01,74.0,OBSCENITY,18.0,30.0,1
800249,2015-03-23,39.0,OBSCENITY,30.0,55.0,1
800684,2015-03-24,63.0,OBSCENITY,28.0,56.0,1
803497,2015-04-01,32.0,OBSCENITY,54.0,96.0,1
805962,2015-04-08,26.0,OBSCENITY,45.0,73.0,1
806171,2015-04-08,69.0,OBSCENITY,45.0,37.0,1
806573,2015-04-10,2.0,OBSCENITY,51.0,78.0,1
810415,2015-04-20,26.0,OBSCENITY,47.0,73.0,1
812393,2015-04-25,51.0,OBSCENITY,44.0,98.0,1
816415,2015-05-06,34.0,OBSCENITY,62.0,7.0,1
816441,2015-05-06,39.0,OBSCENITY,62.0,55.0,1
818228,2015-05-11,26.0,OBSCENITY,58.0,73.0,1
821347,2015-05-19,32.0,OBSCENITY,47.0,96.0,1
821383,2015-05-19,39.0,OBSCENITY,47.0,55.0,1
821423,2015-05-19,52.0,OBSCENITY,47.0,44.0,1
822069,2015-05-21,29.0,OBSCENITY,57.0,15.0,1
824927,2015-05-28,56.0,OBSCENITY,68.0,61.0,1
826342,2015-06-01,26.0,OBSCENITY,52.0,73.0,1
829457,2015-06-09,26.0,OBSCENITY,73.0,73.0,1
842885,2015-07-14,7.0,OBSCENITY,72.0,88.0,1
858816,2015-08-23,67.0,OBSCENITY,69.0,66.0,1
861758,2015-08-31,37.0,OBSCENITY,73.0,1.0,1
867711,2015-09-15,69.0,OBSCENITY,72.0,37.0,1
867926,2015-09-16,36.0,OBSCENITY,70.0,21.0,1
871531,2015-09-25,62.0,OBSCENITY,67.0,29.0,1
876225,2015-10-08,15.0,OBSCENITY,64.0,35.0,1
880762,2015-10-20,16.0,OBSCENITY,66.0,34.0,1
882934,2015-10-25,69.0,OBSCENITY,52.0,37.0,1
889353,2015-11-12,15.0,OBSCENITY,49.0,35.0,1
889812,2015-11-13,32.0,OBSCENITY,40.0,96.0,1
890055,2015-11-14,20.0,OBSCENITY,41.0,46.0,1
892122,2015-11-19,70.0,OBSCENITY,41.0,74.0,1
900314,2015-12-13,40.0,OBSCENITY,55.0,60.0,1
905213,2015-12-27,67.0,OBSCENITY,38.0,66.0,1
906520,2016-01-01,4.0,OBSCENITY,25.0,57.0,1
906599,2016-01-01,20.0,OBSCENITY,25.0,46.0,1
906704,2016-01-01,31.0,OBSCENITY,25.0,20.0,1
910492,2016-01-12,25.0,OBSCENITY,12.0,10.0,1
912932,2016-01-19,32.0,OBSCENITY,9.0,96.0,1
914102,2016-01-22,63.0,OBSCENITY,25.0,56.0,2
917267,2016-01-31,28.0,OBSCENITY,41.0,83.0,1
917965,2016-02-02,15.0,OBSCENITY,35.0,35.0,1
923442,2016-02-18,25.0,OBSCENITY,33.0,10.0,1
924480,2016-02-21,2.0,OBSCENITY,35.0,78.0,1
927704,2016-03-01,20.0,OBSCENITY,24.0,46.0,1
929367,2016-03-05,59.0,OBSCENITY,34.0,91.0,1
933185,2016-03-16,15.0,OBSCENITY,51.0,35.0,1
934017,2016-03-18,27.0,OBSCENITY,41.0,92.0,1
944514,2016-04-15,61.0,OBSCENITY,55.0,93.0,1
945835,2016-04-19,30.0,OBSCENITY,52.0,87.0,1
948730,2016-04-27,19.0,OBSCENITY,45.0,70.0,1
950540,2016-05-02,14.0,OBSCENITY,51.0,53.0,1
953398,2016-05-09,46.0,OBSCENITY,54.0,6.0,1
959051,2016-05-24,33.0,OBSCENITY,73.0,76.0,1
961925,2016-05-31,66.0,OBSCENITY,73.0,94.0,1
963132,2016-06-03,60.0,OBSCENITY,70.0,69.0,1
968150,2016-06-16,57.0,OBSCENITY,70.0,5.0,1
970411,2016-06-22,34.0,OBSCENITY,72.0,7.0,1
984982,2016-07-29,30.0,OBSCENITY,76.0,87.0,1
985427,2016-07-30,39.0,OBSCENITY,73.0,55.0,1
989100,2016-08-08,56.0,OBSCENITY,78.0,84.0,1
990753,2016-08-13,6.0,OBSCENITY,78.0,17.0,1
1001177,2016-09-08,30.0,OBSCENITY,76.0,87.0,1
1002693,2016-09-12,22.0,OBSCENITY,67.0,42.0,1
1003843,2016-09-15,21.0,OBSCENITY,69.0,71.0,1
1012500,2016-10-07,53.0,OBSCENITY,59.0,32.0,1
1013272,2016-10-09,64.0,OBSCENITY,55.0,80.0,1
1014141,2016-10-12,18.0,OBSCENITY,57.0,50.0,1
1016694,2016-10-18,60.0,OBSCENITY,66.0,69.0,1
1017016,2016-10-19,44.0,OBSCENITY,60.0,38.0,1
1017172,2016-10-20,3.0,OBSCENITY,51.0,97.0,1
1018461,2016-10-23,32.0,OBSCENITY,57.0,96.0,1
1019142,2016-10-25,20.0,OBSCENITY,45.0,46.0,1
1020982,2016-10-30,17.0,OBSCENITY,49.0,28.0,1
1021352,2016-10-31,10.0,OBSCENITY,48.0,39.0,1
1026433,2016-11-13,37.0,OBSCENITY,46.0,1.0,1
1027999,2016-11-17,45.0,OBSCENITY,58.0,52.0,1
1030167,2016-11-23,38.0,OBSCENITY,41.0,3.0,1
1031277,2016-11-26,57.0,OBSCENITY,40.0,5.0,1
1031814,2016-11-28,26.0,OBSCENITY,46.0,73.0,1
1036091,2016-12-10,10.0,OBSCENITY,21.0,39.0,1
1037658,2016-12-14,76.0,OBSCENITY,11.0,19.0,1
1039477,2016-12-20,38.0,OBSCENITY,21.0,3.0,1
1043297,2016-12-31,29.0,OBSCENITY,32.0,15.0,1
1043795,2017-01-01,45.0,OBSCENITY,28.0,52.0,1
1048678,2017-01-15,17.0,OBSCENITY,28.0,28.0,1
1050104,2017-01-19,10.0,OBSCENITY,36.0,39.0,1
1055355,2017-02-01,54.0,OBSCENITY,30.0,67.0,1
1055379,2017-02-01,59.0,OBSCENITY,30.0,91.0,1
1057163,2017-02-06,50.0,OBSCENITY,38.0,62.0,1
1062584,2017-02-21,26.0,OBSCENITY,58.0,73.0,1
1066672,2017-03-04,69.0,OBSCENITY,35.0,37.0,1
1067422,2017-03-07,4.0,OBSCENITY,55.0,57.0,1
1068437,2017-03-09,66.0,OBSCENITY,36.0,94.0,1
1069166,2017-03-11,69.0,OBSCENITY,25.0,37.0,1
1069692,2017-03-13,42.0,OBSCENITY,28.0,75.0,1
1070409,2017-03-15,69.0,OBSCENITY,25.0,37.0,1
1071161,2017-03-18,4.0,OBSCENITY,39.0,57.0,1
1072397,2017-03-21,39.0,OBSCENITY,44.0,55.0,1
1074377,2017-03-27,4.0,OBSCENITY,47.0,57.0,1
1077775,2017-04-05,22.0,OBSCENITY,44.0,42.0,1
1085202,2017-04-25,38.0,OBSCENITY,66.0,3.0,1
1085544,2017-04-26,30.0,OBSCENITY,67.0,87.0,1
1086047,2017-04-27,59.0,OBSCENITY,52.0,91.0,1
1086511,2017-04-28,69.0,OBSCENITY,50.0,37.0,1
1087588,2017-05-01,72.0,OBSCENITY,51.0,48.0,1
1088162,2017-05-03,37.0,OBSCENITY,46.0,1.0,1
1088735,2017-05-05,5.0,OBSCENITY,51.0,26.0,1
1089866,2017-05-08,16.0,OBSCENITY,46.0,34.0,1
1093424,2017-05-17,42.0,OBSCENITY,73.0,75.0,1
1093515,2017-05-17,64.0,OBSCENITY,73.0,80.0,1
1094585,2017-05-20,48.0,OBSCENITY,56.0,65.0,1
1097566,2017-05-28,28.0,OBSCENITY,67.0,83.0,1
1099360,2017-06-01,72.0,OBSCENITY,66.0,48.0,1
1102149,2017-06-09,9.0,OBSCENITY,76.0,58.0,1
1106536,2017-06-20,34.0,OBSCENITY,69.0,7.0,1
1107165,2017-06-22,7.0,OBSCENITY,78.0,88.0,1
1108828,2017-06-26,30.0,OBSCENITY,65.0,87.0,1
1109452,2017-06-28,7.0,OBSCENITY,69.0,88.0,1
1110826,2017-07-01,55.0,OBSCENITY,74.0,84.0,1
1111008,2017-07-02,15.0,OBSCENITY,76.0,35.0,1
1113051,2017-07-07,22.0,OBSCENITY,76.0,42.0,1
1117310,2017-07-18,24.0,OBSCENITY,75.0,85.0,1
1117703,2017-07-19,23.0,OBSCENITY,79.0,23.0,1
1118706,2017-07-21,69.0,OBSCENITY,81.0,37.0,1
1123851,2017-08-04,11.0,OBSCENITY,62.0,25.0,1
1129831,2017-08-19,40.0,OBSCENITY,75.0,60.0,1
1134244,2017-08-31,5.0,OBSCENITY,69.0,26.0,1
1134551,2017-08-31,66.0,OBSCENITY,69.0,94.0,1
1136279,2017-09-05,32.0,OBSCENITY,62.0,96.0,1
