,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
3,2010-01-01,2.0,OFFENSE INVOLVING CHILDREN,11.0,78.0,1
9,2010-01-01,3.0,OFFENSE INVOLVING CHILDREN,11.0,97.0,1
22,2010-01-01,6.0,OFFENSE INVOLVING CHILDREN,11.0,17.0,1
47,2010-01-01,9.0,OFFENSE INVOLVING CHILDREN,11.0,58.0,1
60,2010-01-01,10.0,OFFENSE INVOLVING CHILDREN,11.0,39.0,1
70,2010-01-01,13.0,OFFENSE INVOLVING CHILDREN,11.0,33.0,1
77,2010-01-01,14.0,OFFENSE INVOLVING CHILDREN,11.0,53.0,1
84,2010-01-01,15.0,OFFENSE INVOLVING CHILDREN,11.0,35.0,1
94,2010-01-01,16.0,OFFENSE INVOLVING CHILDREN,11.0,34.0,1
109,2010-01-01,19.0,OFFENSE INVOLVING CHILDREN,11.0,70.0,5
120,2010-01-01,20.0,OFFENSE INVOLVING CHILDREN,11.0,46.0,4
123,2010-01-01,21.0,OFFENSE INVOLVING CHILDREN,11.0,71.0,1
131,2010-01-01,22.0,OFFENSE INVOLVING CHILDREN,11.0,42.0,2
143,2010-01-01,23.0,OFFENSE INVOLVING CHILDREN,11.0,23.0,3
156,2010-01-01,24.0,OFFENSE INVOLVING CHILDREN,11.0,85.0,2
167,2010-01-01,25.0,OFFENSE INVOLVING CHILDREN,11.0,10.0,2
181,2010-01-01,26.0,OFFENSE INVOLVING CHILDREN,11.0,73.0,1
203,2010-01-01,28.0,OFFENSE INVOLVING CHILDREN,11.0,83.0,1
216,2010-01-01,29.0,OFFENSE INVOLVING CHILDREN,11.0,15.0,1
226,2010-01-01,30.0,OFFENSE INVOLVING CHILDREN,11.0,87.0,2
244,2010-01-01,32.0,OFFENSE INVOLVING CHILDREN,11.0,96.0,3
287,2010-01-01,39.0,OFFENSE INVOLVING CHILDREN,11.0,55.0,5
302,2010-01-01,41.0,OFFENSE INVOLVING CHILDREN,11.0,41.0,1
313,2010-01-01,42.0,OFFENSE INVOLVING CHILDREN,11.0,75.0,2
320,2010-01-01,43.0,OFFENSE INVOLVING CHILDREN,11.0,79.0,1
327,2010-01-01,44.0,OFFENSE INVOLVING CHILDREN,11.0,38.0,1
334,2010-01-01,45.0,OFFENSE INVOLVING CHILDREN,11.0,52.0,1
343,2010-01-01,47.0,OFFENSE INVOLVING CHILDREN,11.0,51.0,1
348,2010-01-01,48.0,OFFENSE INVOLVING CHILDREN,11.0,65.0,1
353,2010-01-01,49.0,OFFENSE INVOLVING CHILDREN,11.0,64.0,1
364,2010-01-01,50.0,OFFENSE INVOLVING CHILDREN,11.0,62.0,2
380,2010-01-01,53.0,OFFENSE INVOLVING CHILDREN,11.0,32.0,1
392,2010-01-01,55.0,OFFENSE INVOLVING CHILDREN,11.0,84.0,1
423,2010-01-01,59.0,OFFENSE INVOLVING CHILDREN,11.0,91.0,4
430,2010-01-01,60.0,OFFENSE INVOLVING CHILDREN,11.0,69.0,1
438,2010-01-01,61.0,OFFENSE INVOLVING CHILDREN,11.0,93.0,1
450,2010-01-01,63.0,OFFENSE INVOLVING CHILDREN,11.0,56.0,3
459,2010-01-01,64.0,OFFENSE INVOLVING CHILDREN,11.0,80.0,6
470,2010-01-01,65.0,OFFENSE INVOLVING CHILDREN,11.0,89.0,1
497,2010-01-01,67.0,OFFENSE INVOLVING CHILDREN,11.0,62.0,2
511,2010-01-01,69.0,OFFENSE INVOLVING CHILDREN,11.0,37.0,3
524,2010-01-01,70.0,OFFENSE INVOLVING CHILDREN,11.0,74.0,5
532,2010-01-01,71.0,OFFENSE INVOLVING CHILDREN,11.0,12.0,1
548,2010-01-01,73.0,OFFENSE INVOLVING CHILDREN,11.0,16.0,1
553,2010-01-01,74.0,OFFENSE INVOLVING CHILDREN,11.0,30.0,1
564,2010-01-01,76.0,OFFENSE INVOLVING CHILDREN,11.0,19.0,1
625,2010-01-02,19.0,OFFENSE INVOLVING CHILDREN,7.0,70.0,1
673,2010-01-02,26.0,OFFENSE INVOLVING CHILDREN,7.0,73.0,1
857,2010-01-02,64.0,OFFENSE INVOLVING CHILDREN,7.0,80.0,1
923,2010-01-02,72.0,OFFENSE INVOLVING CHILDREN,7.0,48.0,1
942,2010-01-03,1.0,OFFENSE INVOLVING CHILDREN,9.0,47.0,1
975,2010-01-03,9.0,OFFENSE INVOLVING CHILDREN,9.0,66.0,1
991,2010-01-03,15.0,OFFENSE INVOLVING CHILDREN,9.0,35.0,1
1067,2010-01-03,27.0,OFFENSE INVOLVING CHILDREN,9.0,92.0,2
1143,2010-01-03,39.0,OFFENSE INVOLVING CHILDREN,9.0,55.0,1
1171,2010-01-03,45.0,OFFENSE INVOLVING CHILDREN,9.0,52.0,1
1346,2010-01-04,1.0,OFFENSE INVOLVING CHILDREN,13.0,47.0,1
1485,2010-01-04,26.0,OFFENSE INVOLVING CHILDREN,13.0,73.0,2
1585,2010-01-04,42.0,OFFENSE INVOLVING CHILDREN,13.0,75.0,1
1633,2010-01-04,53.0,OFFENSE INVOLVING CHILDREN,13.0,32.0,1
1643,2010-01-04,55.0,OFFENSE INVOLVING CHILDREN,13.0,84.0,1
1799,2010-01-05,7.0,OFFENSE INVOLVING CHILDREN,18.0,88.0,1
1859,2010-01-05,19.0,OFFENSE INVOLVING CHILDREN,18.0,70.0,1
1960,2010-01-05,31.0,OFFENSE INVOLVING CHILDREN,18.0,20.0,1
2129,2010-01-05,64.0,OFFENSE INVOLVING CHILDREN,18.0,80.0,1
2152,2010-01-05,66.0,OFFENSE INVOLVING CHILDREN,18.0,94.0,1
2439,2010-01-06,40.0,OFFENSE INVOLVING CHILDREN,15.0,60.0,1
2477,2010-01-06,47.0,OFFENSE INVOLVING CHILDREN,15.0,51.0,1
2490,2010-01-06,50.0,OFFENSE INVOLVING CHILDREN,15.0,62.0,1
2519,2010-01-06,57.0,OFFENSE INVOLVING CHILDREN,15.0,5.0,1
2694,2010-01-07,16.0,OFFENSE INVOLVING CHILDREN,19.0,34.0,1
2716,2010-01-07,20.0,OFFENSE INVOLVING CHILDREN,19.0,46.0,1
3174,2010-01-08,23.0,OFFENSE INVOLVING CHILDREN,19.0,23.0,1
3267,2010-01-08,35.0,OFFENSE INVOLVING CHILDREN,19.0,82.0,1
3315,2010-01-08,42.0,OFFENSE INVOLVING CHILDREN,19.0,75.0,1
3350,2010-01-08,49.0,OFFENSE INVOLVING CHILDREN,19.0,64.0,1
3411,2010-01-08,61.0,OFFENSE INVOLVING CHILDREN,19.0,93.0,2
3489,2010-01-08,70.0,OFFENSE INVOLVING CHILDREN,19.0,74.0,2
3532,2010-01-09,6.0,OFFENSE INVOLVING CHILDREN,14.0,17.0,1
3626,2010-01-09,24.0,OFFENSE INVOLVING CHILDREN,14.0,85.0,1
3699,2010-01-09,32.0,OFFENSE INVOLVING CHILDREN,14.0,96.0,1
3954,2010-01-10,9.0,OFFENSE INVOLVING CHILDREN,9.0,58.0,2
4147,2010-01-10,45.0,OFFENSE INVOLVING CHILDREN,9.0,48.0,1
4166,2010-01-10,50.0,OFFENSE INVOLVING CHILDREN,9.0,62.0,1
4182,2010-01-10,55.0,OFFENSE INVOLVING CHILDREN,9.0,84.0,1
4195,2010-01-10,58.0,OFFENSE INVOLVING CHILDREN,9.0,43.0,1
4248,2010-01-10,66.0,OFFENSE INVOLVING CHILDREN,9.0,94.0,1
4265,2010-01-10,68.0,OFFENSE INVOLVING CHILDREN,9.0,2.0,1
4398,2010-01-11,19.0,OFFENSE INVOLVING CHILDREN,21.0,70.0,1
4620,2010-01-11,55.0,OFFENSE INVOLVING CHILDREN,21.0,84.0,1
4684,2010-01-11,65.0,OFFENSE INVOLVING CHILDREN,21.0,89.0,1
4733,2010-01-11,73.0,OFFENSE INVOLVING CHILDREN,21.0,16.0,1
4799,2010-01-12,10.0,OFFENSE INVOLVING CHILDREN,26.0,39.0,2
4826,2010-01-12,17.0,OFFENSE INVOLVING CHILDREN,26.0,28.0,1
4932,2010-01-12,30.0,OFFENSE INVOLVING CHILDREN,26.0,87.0,1
5285,2010-01-13,20.0,OFFENSE INVOLVING CHILDREN,27.0,46.0,1
5524,2010-01-13,57.0,OFFENSE INVOLVING CHILDREN,27.0,5.0,1
5599,2010-01-13,67.0,OFFENSE INVOLVING CHILDREN,27.0,66.0,1
5751,2010-01-14,19.0,OFFENSE INVOLVING CHILDREN,36.0,70.0,1
5781,2010-01-14,23.0,OFFENSE INVOLVING CHILDREN,36.0,23.0,1
5791,2010-01-14,24.0,OFFENSE INVOLVING CHILDREN,36.0,85.0,1
5864,2010-01-14,30.0,OFFENSE INVOLVING CHILDREN,36.0,87.0,1
5925,2010-01-14,39.0,OFFENSE INVOLVING CHILDREN,36.0,55.0,1
5960,2010-01-14,45.0,OFFENSE INVOLVING CHILDREN,36.0,52.0,1
6043,2010-01-14,61.0,OFFENSE INVOLVING CHILDREN,36.0,93.0,2
6060,2010-01-14,64.0,OFFENSE INVOLVING CHILDREN,36.0,80.0,1
6095,2010-01-14,67.0,OFFENSE INVOLVING CHILDREN,36.0,66.0,2
6197,2010-01-15,9.0,OFFENSE INVOLVING CHILDREN,30.0,58.0,1
6240,2010-01-15,17.0,OFFENSE INVOLVING CHILDREN,30.0,28.0,1
6282,2010-01-15,23.0,OFFENSE INVOLVING CHILDREN,30.0,23.0,1
6303,2010-01-15,25.0,OFFENSE INVOLVING CHILDREN,30.0,85.0,1
6316,2010-01-15,26.0,OFFENSE INVOLVING CHILDREN,30.0,73.0,2
6338,2010-01-15,28.0,OFFENSE INVOLVING CHILDREN,30.0,83.0,1
6423,2010-01-15,39.0,OFFENSE INVOLVING CHILDREN,30.0,55.0,2
6480,2010-01-15,47.0,OFFENSE INVOLVING CHILDREN,30.0,51.0,1
6516,2010-01-15,56.0,OFFENSE INVOLVING CHILDREN,30.0,61.0,1
6537,2010-01-15,59.0,OFFENSE INVOLVING CHILDREN,30.0,91.0,1
6617,2010-01-15,70.0,OFFENSE INVOLVING CHILDREN,30.0,74.0,1
6655,2010-01-16,3.0,OFFENSE INVOLVING CHILDREN,25.0,97.0,1
7029,2010-01-16,66.0,OFFENSE INVOLVING CHILDREN,25.0,94.0,1
7062,2010-01-16,70.0,OFFENSE INVOLVING CHILDREN,25.0,74.0,1
7115,2010-01-17,7.0,OFFENSE INVOLVING CHILDREN,24.0,88.0,1
7204,2010-01-17,24.0,OFFENSE INVOLVING CHILDREN,24.0,85.0,1
7216,2010-01-17,25.0,OFFENSE INVOLVING CHILDREN,24.0,10.0,1
7226,2010-01-17,26.0,OFFENSE INVOLVING CHILDREN,24.0,73.0,1
7360,2010-01-17,47.0,OFFENSE INVOLVING CHILDREN,24.0,51.0,2
7464,2010-01-17,66.0,OFFENSE INVOLVING CHILDREN,24.0,94.0,1
7586,2010-01-18,14.0,OFFENSE INVOLVING CHILDREN,29.0,53.0,1
7675,2010-01-18,27.0,OFFENSE INVOLVING CHILDREN,29.0,92.0,1
7807,2010-01-18,49.0,OFFENSE INVOLVING CHILDREN,29.0,64.0,1
7967,2010-01-19,4.0,OFFENSE INVOLVING CHILDREN,33.0,57.0,1
8068,2010-01-19,23.0,OFFENSE INVOLVING CHILDREN,33.0,23.0,1
8291,2010-01-19,59.0,OFFENSE INVOLVING CHILDREN,33.0,91.0,2
8322,2010-01-19,64.0,OFFENSE INVOLVING CHILDREN,33.0,80.0,2
8356,2010-01-19,67.0,OFFENSE INVOLVING CHILDREN,33.0,58.0,1
8407,2010-01-19,76.0,OFFENSE INVOLVING CHILDREN,33.0,19.0,1
8479,2010-01-20,15.0,OFFENSE INVOLVING CHILDREN,29.0,35.0,1
8597,2010-01-20,30.0,OFFENSE INVOLVING CHILDREN,29.0,87.0,1
8661,2010-01-20,40.0,OFFENSE INVOLVING CHILDREN,29.0,60.0,1
8700,2010-01-20,46.0,OFFENSE INVOLVING CHILDREN,29.0,6.0,1
8798,2010-01-20,65.0,OFFENSE INVOLVING CHILDREN,29.0,89.0,1
8937,2010-01-21,16.0,OFFENSE INVOLVING CHILDREN,33.0,34.0,1
8973,2010-01-21,22.0,OFFENSE INVOLVING CHILDREN,33.0,42.0,1
8981,2010-01-21,23.0,OFFENSE INVOLVING CHILDREN,33.0,23.0,1
8992,2010-01-21,24.0,OFFENSE INVOLVING CHILDREN,33.0,85.0,2
9056,2010-01-21,31.0,OFFENSE INVOLVING CHILDREN,33.0,20.0,1
9073,2010-01-21,35.0,OFFENSE INVOLVING CHILDREN,33.0,82.0,1
9101,2010-01-21,39.0,OFFENSE INVOLVING CHILDREN,33.0,55.0,1
9111,2010-01-21,40.0,OFFENSE INVOLVING CHILDREN,33.0,60.0,1
9329,2010-01-22,2.0,OFFENSE INVOLVING CHILDREN,34.0,78.0,1
9336,2010-01-22,4.0,OFFENSE INVOLVING CHILDREN,34.0,57.0,1
9403,2010-01-22,17.0,OFFENSE INVOLVING CHILDREN,34.0,28.0,1
9505,2010-01-22,30.0,OFFENSE INVOLVING CHILDREN,34.0,87.0,1
9598,2010-01-22,44.0,OFFENSE INVOLVING CHILDREN,34.0,38.0,1
9622,2010-01-22,49.0,OFFENSE INVOLVING CHILDREN,34.0,64.0,1
9666,2010-01-22,59.0,OFFENSE INVOLVING CHILDREN,34.0,91.0,1
9702,2010-01-22,65.0,OFFENSE INVOLVING CHILDREN,34.0,89.0,1
9724,2010-01-22,67.0,OFFENSE INVOLVING CHILDREN,34.0,62.0,2
9800,2010-01-23,3.0,OFFENSE INVOLVING CHILDREN,39.0,97.0,1
10078,2010-01-23,47.0,OFFENSE INVOLVING CHILDREN,39.0,51.0,1
10185,2010-01-23,66.0,OFFENSE INVOLVING CHILDREN,39.0,94.0,1
10207,2010-01-23,69.0,OFFENSE INVOLVING CHILDREN,39.0,37.0,1
10224,2010-01-23,72.0,OFFENSE INVOLVING CHILDREN,39.0,48.0,1
10298,2010-01-24,15.0,OFFENSE INVOLVING CHILDREN,38.0,35.0,1
10324,2010-01-24,20.0,OFFENSE INVOLVING CHILDREN,38.0,46.0,1
10511,2010-01-24,52.0,OFFENSE INVOLVING CHILDREN,38.0,44.0,1
10576,2010-01-24,65.0,OFFENSE INVOLVING CHILDREN,38.0,89.0,1
10617,2010-01-24,70.0,OFFENSE INVOLVING CHILDREN,38.0,74.0,3
10662,2010-01-25,5.0,OFFENSE INVOLVING CHILDREN,26.0,26.0,1
10739,2010-01-25,21.0,OFFENSE INVOLVING CHILDREN,26.0,71.0,1
10782,2010-01-25,26.0,OFFENSE INVOLVING CHILDREN,26.0,73.0,1
10803,2010-01-25,28.0,OFFENSE INVOLVING CHILDREN,26.0,83.0,1
10921,2010-01-25,47.0,OFFENSE INVOLVING CHILDREN,26.0,51.0,1
11008,2010-01-25,65.0,OFFENSE INVOLVING CHILDREN,26.0,89.0,1
11041,2010-01-25,69.0,OFFENSE INVOLVING CHILDREN,26.0,37.0,1
11157,2010-01-26,19.0,OFFENSE INVOLVING CHILDREN,18.0,70.0,2
11193,2010-01-26,24.0,OFFENSE INVOLVING CHILDREN,18.0,85.0,2
11205,2010-01-26,25.0,OFFENSE INVOLVING CHILDREN,18.0,10.0,1
11504,2010-01-26,74.0,OFFENSE INVOLVING CHILDREN,18.0,30.0,1
11540,2010-01-27,7.0,OFFENSE INVOLVING CHILDREN,16.0,88.0,1
11559,2010-01-27,10.0,OFFENSE INVOLVING CHILDREN,16.0,39.0,1
11697,2010-01-27,32.0,OFFENSE INVOLVING CHILDREN,16.0,96.0,1
11814,2010-01-27,55.0,OFFENSE INVOLVING CHILDREN,16.0,84.0,1
11857,2010-01-27,63.0,OFFENSE INVOLVING CHILDREN,16.0,56.0,1
11886,2010-01-27,66.0,OFFENSE INVOLVING CHILDREN,16.0,94.0,1
11898,2010-01-27,67.0,OFFENSE INVOLVING CHILDREN,16.0,66.0,1
11945,2010-01-27,74.0,OFFENSE INVOLVING CHILDREN,16.0,30.0,1
12073,2010-01-28,24.0,OFFENSE INVOLVING CHILDREN,12.0,85.0,1
12094,2010-01-28,26.0,OFFENSE INVOLVING CHILDREN,12.0,73.0,1
12363,2010-01-28,73.0,OFFENSE INVOLVING CHILDREN,12.0,16.0,1
12416,2010-01-29,8.0,OFFENSE INVOLVING CHILDREN,13.0,14.0,1
12501,2010-01-29,24.0,OFFENSE INVOLVING CHILDREN,13.0,85.0,1
12726,2010-01-29,64.0,OFFENSE INVOLVING CHILDREN,13.0,80.0,2
12745,2010-01-29,66.0,OFFENSE INVOLVING CHILDREN,13.0,94.0,1
12819,2010-01-30,3.0,OFFENSE INVOLVING CHILDREN,22.0,97.0,1
12916,2010-01-30,23.0,OFFENSE INVOLVING CHILDREN,22.0,23.0,1
13046,2010-01-30,42.0,OFFENSE INVOLVING CHILDREN,22.0,75.0,1
13069,2010-01-30,48.0,OFFENSE INVOLVING CHILDREN,22.0,65.0,1
13124,2010-01-30,59.0,OFFENSE INVOLVING CHILDREN,22.0,91.0,2
13222,2010-01-30,73.0,OFFENSE INVOLVING CHILDREN,22.0,16.0,1
13345,2010-01-31,23.0,OFFENSE INVOLVING CHILDREN,22.0,23.0,1
