,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
29499,2010-03-09,55.0,OTHER NARCOTIC VIOLATION,42.0,84.0,1
41391,2010-04-04,37.0,OTHER NARCOTIC VIOLATION,58.0,1.0,1
74784,2010-06-14,57.0,OTHER NARCOTIC VIOLATION,65.0,5.0,1
89170,2010-07-15,38.0,OTHER NARCOTIC VIOLATION,81.0,3.0,1
104711,2010-08-17,39.0,OTHER NARCOTIC VIOLATION,72.0,75.0,1
152209,2010-11-28,37.0,OTHER NARCOTIC VIOLATION,34.0,1.0,1
254683,2011-07-21,38.0,OTHER NARCOTIC VIOLATION,87.0,3.0,1
275510,2011-09-04,23.0,OTHER NARCOTIC VIOLATION,66.0,23.0,1
290179,2011-10-06,57.0,OTHER NARCOTIC VIOLATION,66.0,5.0,1
300372,2011-10-29,38.0,OTHER NARCOTIC VIOLATION,45.0,3.0,1
313445,2011-11-28,57.0,OTHER NARCOTIC VIOLATION,38.0,5.0,1
421061,2012-08-04,29.0,OTHER NARCOTIC VIOLATION,82.0,15.0,1
421498,2012-08-05,29.0,OTHER NARCOTIC VIOLATION,75.0,15.0,1
434535,2012-09-03,57.0,OTHER NARCOTIC VIOLATION,80.0,5.0,1
450327,2012-10-10,37.0,OTHER NARCOTIC VIOLATION,43.0,1.0,1
463751,2012-11-10,68.0,OTHER NARCOTIC VIOLATION,58.0,2.0,1
466294,2012-11-16,68.0,OTHER NARCOTIC VIOLATION,41.0,2.0,1
555095,2013-06-22,38.0,OTHER NARCOTIC VIOLATION,74.0,3.0,1
580895,2013-08-22,34.0,OTHER NARCOTIC VIOLATION,73.0,7.0,1
581423,2013-08-23,57.0,OTHER NARCOTIC VIOLATION,72.0,5.0,1
595201,2013-09-25,70.0,OTHER NARCOTIC VIOLATION,61.0,74.0,1
622025,2013-12-03,38.0,OTHER NARCOTIC VIOLATION,44.0,3.0,1
645149,2014-02-07,40.0,OTHER NARCOTIC VIOLATION,4.0,60.0,1
648217,2014-02-16,37.0,OTHER NARCOTIC VIOLATION,23.0,1.0,1
659085,2014-03-18,68.0,OTHER NARCOTIC VIOLATION,40.0,2.0,1
665019,2014-04-03,31.0,OTHER NARCOTIC VIOLATION,39.0,20.0,1
680221,2014-05-12,37.0,OTHER NARCOTIC VIOLATION,74.0,1.0,1
690056,2014-06-05,57.0,OTHER NARCOTIC VIOLATION,64.0,5.0,1
707499,2014-07-18,34.0,OTHER NARCOTIC VIOLATION,69.0,7.0,1
724066,2014-08-28,27.0,OTHER NARCOTIC VIOLATION,72.0,92.0,1
748072,2014-10-28,24.0,OTHER NARCOTIC VIOLATION,57.0,85.0,1
758280,2014-11-24,26.0,OTHER NARCOTIC VIOLATION,37.0,73.0,1
786494,2015-02-12,26.0,OTHER NARCOTIC VIOLATION,13.0,73.0,1
811844,2015-04-24,19.0,OTHER NARCOTIC VIOLATION,43.0,70.0,1
828616,2015-06-07,6.0,OTHER NARCOTIC VIOLATION,68.0,17.0,1
848346,2015-07-28,16.0,OTHER NARCOTIC VIOLATION,79.0,34.0,1
872099,2015-09-27,24.0,OTHER NARCOTIC VIOLATION,68.0,85.0,1
917043,2016-01-30,59.0,OTHER NARCOTIC VIOLATION,41.0,91.0,1
971746,2016-06-25,57.0,OTHER NARCOTIC VIOLATION,77.0,5.0,2
1037310,2016-12-13,67.0,OTHER NARCOTIC VIOLATION,12.0,66.0,1
1074707,2017-03-27,69.0,OTHER NARCOTIC VIOLATION,47.0,37.0,1
1116613,2017-07-16,38.0,OTHER NARCOTIC VIOLATION,69.0,3.0,2
1128273,2017-08-15,45.0,OTHER NARCOTIC VIOLATION,76.0,52.0,1
1132739,2017-08-27,10.0,OTHER NARCOTIC VIOLATION,70.0,39.0,1
1141556,2017-09-19,53.0,OTHER NARCOTIC VIOLATION,72.0,32.0,1
1162233,2017-11-14,17.0,OTHER NARCOTIC VIOLATION,40.0,28.0,1
1163073,2017-11-16,37.0,OTHER NARCOTIC VIOLATION,36.0,1.0,1
1164528,2017-11-20,38.0,OTHER NARCOTIC VIOLATION,41.0,3.0,1
1166230,2017-11-25,38.0,OTHER NARCOTIC VIOLATION,44.0,3.0,1
1168003,2017-11-30,24.0,OTHER NARCOTIC VIOLATION,47.0,85.0,1
1294702,2018-11-09,75.0,OTHER NARCOTIC VIOLATION,29.0,24.0,1
1344472,2019-04-04,15.0,OTHER NARCOTIC VIOLATION,43.0,35.0,1
