,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
49,2010-01-01,9.0,PROSTITUTION,11.0,58.0,2
205,2010-01-01,28.0,PROSTITUTION,11.0,83.0,3
381,2010-01-01,53.0,PROSTITUTION,11.0,32.0,1
483,2010-01-01,66.0,PROSTITUTION,11.0,94.0,1
675,2010-01-02,26.0,PROSTITUTION,7.0,73.0,4
1068,2010-01-03,27.0,PROSTITUTION,9.0,92.0,1
1129,2010-01-03,37.0,PROSTITUTION,9.0,1.0,1
1215,2010-01-03,54.0,PROSTITUTION,9.0,67.0,1
1245,2010-01-03,59.0,PROSTITUTION,9.0,91.0,2
1385,2010-01-04,10.0,PROSTITUTION,13.0,39.0,1
1635,2010-01-04,53.0,PROSTITUTION,13.0,32.0,1
1638,2010-01-04,54.0,PROSTITUTION,13.0,67.0,1
1666,2010-01-04,59.0,PROSTITUTION,13.0,91.0,1
1698,2010-01-04,64.0,PROSTITUTION,13.0,80.0,1
1861,2010-01-05,19.0,PROSTITUTION,18.0,70.0,4
1882,2010-01-05,22.0,PROSTITUTION,18.0,42.0,1
1898,2010-01-05,24.0,PROSTITUTION,18.0,85.0,1
1910,2010-01-05,25.0,PROSTITUTION,18.0,10.0,1
1922,2010-01-05,26.0,PROSTITUTION,18.0,73.0,1
1936,2010-01-05,28.0,PROSTITUTION,18.0,83.0,1
2065,2010-01-05,53.0,PROSTITUTION,18.0,32.0,2
2069,2010-01-05,54.0,PROSTITUTION,18.0,67.0,1
2102,2010-01-05,59.0,PROSTITUTION,18.0,91.0,2
2140,2010-01-05,65.0,PROSTITUTION,18.0,89.0,2
2184,2010-01-05,70.0,PROSTITUTION,18.0,74.0,1
2281,2010-01-06,19.0,PROSTITUTION,15.0,70.0,3
2339,2010-01-06,27.0,PROSTITUTION,15.0,92.0,3
2412,2010-01-06,37.0,PROSTITUTION,15.0,1.0,1
2440,2010-01-06,40.0,PROSTITUTION,15.0,60.0,1
2500,2010-01-06,53.0,PROSTITUTION,15.0,32.0,1
2737,2010-01-07,23.0,PROSTITUTION,19.0,23.0,1
2745,2010-01-07,24.0,PROSTITUTION,19.0,85.0,1
2769,2010-01-07,26.0,PROSTITUTION,19.0,73.0,5
2779,2010-01-07,27.0,PROSTITUTION,19.0,92.0,2
2789,2010-01-07,28.0,PROSTITUTION,19.0,83.0,3
3194,2010-01-08,25.0,PROSTITUTION,19.0,10.0,1
3246,2010-01-08,30.0,PROSTITUTION,19.0,88.25,4
3378,2010-01-08,56.0,PROSTITUTION,19.0,61.0,1
3413,2010-01-08,61.0,PROSTITUTION,19.0,93.0,1
3436,2010-01-08,64.0,PROSTITUTION,19.0,80.0,1
3670,2010-01-09,29.0,PROSTITUTION,14.0,15.0,1
3809,2010-01-09,55.0,PROSTITUTION,14.0,84.0,1
3818,2010-01-09,58.0,PROSTITUTION,14.0,43.0,1
3845,2010-01-09,64.0,PROSTITUTION,14.0,80.0,1
4023,2010-01-10,24.0,PROSTITUTION,9.0,85.0,1
