,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
39508,2010-03-31,29.0,PUBLIC INDECENCY,64.0,15.0,1
66230,2010-05-27,38.0,PUBLIC INDECENCY,69.0,3.0,1
71948,2010-06-08,55.0,PUBLIC INDECENCY,63.0,84.0,1
105935,2010-08-20,6.0,PUBLIC INDECENCY,82.0,17.0,1
124947,2010-09-29,38.0,PUBLIC INDECENCY,64.0,3.0,1
133046,2010-10-16,41.0,PUBLIC INDECENCY,56.0,41.0,1
163678,2010-12-26,57.0,PUBLIC INDECENCY,26.0,5.0,1
226146,2011-05-21,37.0,PUBLIC INDECENCY,63.0,1.0,1
234105,2011-06-07,37.0,PUBLIC INDECENCY,86.0,2.0,1
243479,2011-06-27,57.0,PUBLIC INDECENCY,73.0,5.0,1
244328,2011-06-29,38.0,PUBLIC INDECENCY,70.0,3.0,1
264302,2011-08-11,19.0,PUBLIC INDECENCY,69.0,70.0,1
264456,2011-08-11,38.0,PUBLIC INDECENCY,69.0,3.0,1
269965,2011-08-23,37.0,PUBLIC INDECENCY,68.0,1.0,1
271780,2011-08-27,31.0,PUBLIC INDECENCY,73.0,20.0,1
276899,2011-09-07,29.0,PUBLIC INDECENCY,61.0,15.0,1
296669,2011-10-21,35.0,PUBLIC INDECENCY,47.0,82.0,1
303307,2011-11-04,68.0,PUBLIC INDECENCY,45.0,2.0,1
312901,2011-11-27,32.0,PUBLIC INDECENCY,41.0,96.0,1
317388,2011-12-07,66.0,PUBLIC INDECENCY,30.0,94.0,1
330247,2012-01-07,51.0,PUBLIC INDECENCY,36.0,98.0,1
339707,2012-01-31,23.0,PUBLIC INDECENCY,50.0,23.0,1
344144,2012-02-10,67.0,PUBLIC INDECENCY,25.0,60.0,1
378196,2012-05-01,47.0,PUBLIC INDECENCY,57.0,51.0,1
387556,2012-05-22,57.0,PUBLIC INDECENCY,61.0,5.0,1
393520,2012-06-05,7.0,PUBLIC INDECENCY,64.0,88.0,1
410179,2012-07-11,37.0,PUBLIC INDECENCY,76.0,1.0,1
410871,2012-07-13,4.0,PUBLIC INDECENCY,82.0,57.0,1
411356,2012-07-14,8.0,PUBLIC INDECENCY,80.0,14.0,1
415513,2012-07-23,27.0,PUBLIC INDECENCY,89.0,92.0,1
419437,2012-07-31,70.0,PUBLIC INDECENCY,77.0,74.0,1
429801,2012-08-24,16.0,PUBLIC INDECENCY,79.0,34.0,1
440200,2012-09-16,66.0,PUBLIC INDECENCY,63.0,97.0,1
441057,2012-09-18,68.0,PUBLIC INDECENCY,55.0,2.0,1
447832,2012-10-04,38.0,PUBLIC INDECENCY,63.0,3.0,1
447915,2012-10-04,57.0,PUBLIC INDECENCY,63.0,5.0,1
459901,2012-11-01,59.0,PUBLIC INDECENCY,44.0,91.0,1
522747,2013-04-06,31.0,PUBLIC INDECENCY,53.0,20.0,1
538279,2013-05-14,6.0,PUBLIC INDECENCY,71.0,17.0,1
549278,2013-06-08,62.0,PUBLIC INDECENCY,62.0,29.0,1
551199,2013-06-13,38.0,PUBLIC INDECENCY,66.0,3.0,1
557206,2013-06-27,37.0,PUBLIC INDECENCY,77.0,1.0,1
562505,2013-07-10,6.0,PUBLIC INDECENCY,76.0,17.0,1
593407,2013-09-21,40.0,PUBLIC INDECENCY,60.0,60.0,1
611336,2013-11-05,35.0,PUBLIC INDECENCY,53.0,82.0,1
612511,2013-11-08,38.0,PUBLIC INDECENCY,38.0,3.0,1
627473,2013-12-18,38.0,PUBLIC INDECENCY,25.0,3.0,1
648319,2014-02-16,63.0,PUBLIC INDECENCY,23.0,56.0,1
655588,2014-03-09,57.0,PUBLIC INDECENCY,31.0,5.0,1
663198,2014-03-29,57.0,PUBLIC INDECENCY,35.0,5.0,1
664683,2014-04-02,37.0,PUBLIC INDECENCY,40.0,1.0,1
666773,2014-04-08,6.0,PUBLIC INDECENCY,50.0,17.0,1
666960,2014-04-08,38.0,PUBLIC INDECENCY,50.0,3.0,1
718587,2014-08-14,54.0,PUBLIC INDECENCY,65.0,67.0,1
720539,2014-08-19,38.0,PUBLIC INDECENCY,78.0,3.0,1
755975,2014-11-17,68.0,PUBLIC INDECENCY,16.0,2.0,1
765069,2014-12-13,19.0,PUBLIC INDECENCY,41.0,70.0,1
773341,2015-01-05,48.0,PUBLIC INDECENCY,2.0,65.0,1
785375,2015-02-09,8.0,PUBLIC INDECENCY,23.0,14.0,1
801614,2015-03-27,26.0,PUBLIC INDECENCY,26.0,73.0,1
