,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
101,2010-01-01,17.0,PUBLIC PEACE VIOLATION,11.0,28.0,1
145,2010-01-01,23.0,PUBLIC PEACE VIOLATION,11.0,23.0,1
183,2010-01-01,26.0,PUBLIC PEACE VIOLATION,11.0,73.0,1
267,2010-01-01,37.0,PUBLIC PEACE VIOLATION,11.0,1.0,1
289,2010-01-01,39.0,PUBLIC PEACE VIOLATION,11.0,55.0,1
366,2010-01-01,50.0,PUBLIC PEACE VIOLATION,11.0,62.0,1
472,2010-01-01,65.0,PUBLIC PEACE VIOLATION,11.0,89.0,1
499,2010-01-01,67.0,PUBLIC PEACE VIOLATION,11.0,66.0,1
544,2010-01-01,72.0,PUBLIC PEACE VIOLATION,11.0,48.0,1
718,2010-01-02,32.0,PUBLIC PEACE VIOLATION,7.0,96.0,1
725,2010-01-02,33.0,PUBLIC PEACE VIOLATION,7.0,76.0,1
1112,2010-01-03,33.0,PUBLIC PEACE VIOLATION,9.0,76.0,2
1253,2010-01-03,61.0,PUBLIC PEACE VIOLATION,9.0,93.0,1
1332,2010-01-03,74.0,PUBLIC PEACE VIOLATION,9.0,62.0,1
1335,2010-01-03,75.0,PUBLIC PEACE VIOLATION,9.0,24.0,1
1340,2010-01-03,76.0,PUBLIC PEACE VIOLATION,9.0,19.0,1
1356,2010-01-04,4.0,PUBLIC PEACE VIOLATION,13.0,88.0,1
1364,2010-01-04,6.0,PUBLIC PEACE VIOLATION,13.0,17.0,1
1433,2010-01-04,20.0,PUBLIC PEACE VIOLATION,13.0,46.0,1
1560,2010-01-04,38.0,PUBLIC PEACE VIOLATION,13.0,3.0,1
1686,2010-01-04,63.0,PUBLIC PEACE VIOLATION,13.0,56.0,1
1911,2010-01-05,25.0,PUBLIC PEACE VIOLATION,18.0,10.0,2
1923,2010-01-05,26.0,PUBLIC PEACE VIOLATION,18.0,73.0,1
1945,2010-01-05,29.0,PUBLIC PEACE VIOLATION,18.0,15.0,1
2008,2010-01-05,40.0,PUBLIC PEACE VIOLATION,18.0,60.0,1
2131,2010-01-05,64.0,PUBLIC PEACE VIOLATION,18.0,80.0,1
