,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
1,2010-01-01,1.0,ROBBERY,11.0,47.0,1
50,2010-01-01,9.0,ROBBERY,11.0,58.0,1
96,2010-01-01,16.0,ROBBERY,11.0,34.0,1
111,2010-01-01,19.0,ROBBERY,11.0,70.0,1
124,2010-01-01,21.0,ROBBERY,11.0,71.0,1
133,2010-01-01,22.0,ROBBERY,11.0,42.0,2
146,2010-01-01,23.0,ROBBERY,11.0,23.0,1
158,2010-01-01,24.0,ROBBERY,11.0,85.0,1
169,2010-01-01,25.0,ROBBERY,11.0,10.0,1
184,2010-01-01,26.0,ROBBERY,11.0,73.0,2
194,2010-01-01,27.0,ROBBERY,11.0,92.0,1
228,2010-01-01,30.0,ROBBERY,11.0,87.0,2
237,2010-01-01,31.0,ROBBERY,11.0,20.0,1
268,2010-01-01,37.0,ROBBERY,11.0,1.0,4
297,2010-01-01,40.0,ROBBERY,11.0,60.0,1
315,2010-01-01,42.0,ROBBERY,11.0,75.0,2
367,2010-01-01,50.0,ROBBERY,11.0,62.0,1
373,2010-01-01,51.0,ROBBERY,11.0,98.0,1
401,2010-01-01,56.0,ROBBERY,11.0,61.0,1
425,2010-01-01,59.0,ROBBERY,11.0,91.0,1
460,2010-01-01,64.0,ROBBERY,11.0,80.0,2
484,2010-01-01,66.0,ROBBERY,11.0,94.0,2
500,2010-01-01,67.0,ROBBERY,11.0,66.0,1
534,2010-01-01,71.0,ROBBERY,11.0,12.0,1
565,2010-01-01,76.0,ROBBERY,11.0,19.0,1
575,2010-01-02,3.0,ROBBERY,7.0,97.0,1
582,2010-01-02,6.0,ROBBERY,7.0,17.0,1
587,2010-01-02,8.0,ROBBERY,7.0,14.0,1
598,2010-01-02,10.0,ROBBERY,7.0,39.0,1
614,2010-01-02,15.0,ROBBERY,7.0,35.0,1
627,2010-01-02,19.0,ROBBERY,7.0,70.0,1
647,2010-01-02,23.0,ROBBERY,7.0,23.0,1
655,2010-01-02,24.0,ROBBERY,7.0,85.0,2
663,2010-01-02,25.0,ROBBERY,7.0,10.0,1
676,2010-01-02,26.0,ROBBERY,7.0,73.0,4
682,2010-01-02,27.0,ROBBERY,7.0,92.0,2
689,2010-01-02,28.0,ROBBERY,7.0,83.0,2
719,2010-01-02,32.0,ROBBERY,7.0,96.0,2
767,2010-01-02,42.0,ROBBERY,7.0,75.0,2
772,2010-01-02,44.0,ROBBERY,7.0,38.0,1
785,2010-01-02,46.0,ROBBERY,7.0,6.0,1
802,2010-01-02,51.0,ROBBERY,7.0,98.0,1
821,2010-01-02,57.0,ROBBERY,7.0,5.0,1
843,2010-01-02,61.0,ROBBERY,7.0,93.0,1
850,2010-01-02,63.0,ROBBERY,7.0,62.5,2
859,2010-01-02,64.0,ROBBERY,7.0,80.0,1
871,2010-01-02,65.0,ROBBERY,7.0,89.0,1
883,2010-01-02,66.0,ROBBERY,7.0,91.5,2
893,2010-01-02,67.0,ROBBERY,7.0,66.0,2
899,2010-01-02,68.0,ROBBERY,7.0,2.0,3
906,2010-01-02,69.0,ROBBERY,7.0,37.0,2
915,2010-01-02,70.0,ROBBERY,7.0,74.0,1
977,2010-01-03,9.0,ROBBERY,9.0,58.0,1
1031,2010-01-03,23.0,ROBBERY,9.0,23.0,1
1040,2010-01-03,24.0,ROBBERY,9.0,85.0,2
1058,2010-01-03,26.0,ROBBERY,9.0,73.0,1
1075,2010-01-03,28.0,ROBBERY,9.0,83.0,1
1094,2010-01-03,30.0,ROBBERY,9.0,87.0,1
1100,2010-01-03,31.0,ROBBERY,9.0,20.0,1
1118,2010-01-03,34.0,ROBBERY,9.0,7.0,2
1133,2010-01-03,38.0,ROBBERY,9.0,3.0,2
1145,2010-01-03,39.0,ROBBERY,9.0,55.0,1
1160,2010-01-03,42.0,ROBBERY,9.0,75.0,1
1173,2010-01-03,45.0,ROBBERY,9.0,52.0,1
1179,2010-01-03,46.0,ROBBERY,9.0,6.0,1
1198,2010-01-03,50.0,ROBBERY,9.0,62.0,1
