,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
5,2010-01-01,2.0,SEX OFFENSE,11.0,78.0,1
23,2010-01-01,6.0,SEX OFFENSE,11.0,17.0,1
34,2010-01-01,7.0,SEX OFFENSE,11.0,57.0,1
51,2010-01-01,9.0,SEX OFFENSE,11.0,58.0,1
112,2010-01-01,19.0,SEX OFFENSE,11.0,70.0,1
121,2010-01-01,20.0,SEX OFFENSE,11.0,46.0,1
147,2010-01-01,23.0,SEX OFFENSE,11.0,23.0,1
159,2010-01-01,24.0,SEX OFFENSE,11.0,85.0,1
170,2010-01-01,25.0,SEX OFFENSE,11.0,10.0,2
185,2010-01-01,26.0,SEX OFFENSE,11.0,73.0,2
206,2010-01-01,28.0,SEX OFFENSE,11.0,83.0,1
229,2010-01-01,30.0,SEX OFFENSE,11.0,87.0,1
246,2010-01-01,32.0,SEX OFFENSE,11.0,96.0,2
252,2010-01-01,33.0,SEX OFFENSE,11.0,76.0,2
290,2010-01-01,39.0,SEX OFFENSE,11.0,55.0,1
316,2010-01-01,42.0,SEX OFFENSE,11.0,75.0,1
355,2010-01-01,49.0,SEX OFFENSE,11.0,64.0,1
426,2010-01-01,59.0,SEX OFFENSE,11.0,91.0,1
451,2010-01-01,63.0,SEX OFFENSE,11.0,56.0,1
461,2010-01-01,64.0,SEX OFFENSE,11.0,80.0,1
485,2010-01-01,66.0,SEX OFFENSE,11.0,89.0,1
501,2010-01-01,67.0,SEX OFFENSE,11.0,66.0,1
526,2010-01-01,70.0,SEX OFFENSE,11.0,74.0,1
545,2010-01-01,72.0,SEX OFFENSE,11.0,48.0,1
664,2010-01-02,25.0,SEX OFFENSE,7.0,10.0,1
720,2010-01-02,32.0,SEX OFFENSE,7.0,96.0,1
1297,2010-01-03,68.0,SEX OFFENSE,9.0,2.0,1
1628,2010-01-04,52.0,SEX OFFENSE,13.0,44.0,1
1772,2010-01-05,1.0,SEX OFFENSE,18.0,47.0,1
1779,2010-01-05,3.0,SEX OFFENSE,18.0,97.0,1
1803,2010-01-05,8.0,SEX OFFENSE,18.0,14.0,1
2132,2010-01-05,64.0,SEX OFFENSE,18.0,80.0,1
2274,2010-01-06,17.0,SEX OFFENSE,15.0,28.0,1
2384,2010-01-06,32.0,SEX OFFENSE,15.0,96.0,1
2471,2010-01-06,45.0,SEX OFFENSE,15.0,52.0,1
2558,2010-01-06,64.0,SEX OFFENSE,15.0,80.0,1
2825,2010-01-07,32.0,SEX OFFENSE,19.0,76.0,1
2854,2010-01-07,38.0,SEX OFFENSE,19.0,3.0,1
3055,2010-01-07,76.0,SEX OFFENSE,19.0,19.0,1
3548,2010-01-09,9.0,SEX OFFENSE,14.0,88.0,1
4135,2010-01-10,42.0,SEX OFFENSE,9.0,75.0,1
4196,2010-01-10,58.0,SEX OFFENSE,9.0,43.0,1
4239,2010-01-10,65.0,SEX OFFENSE,9.0,89.0,1
4258,2010-01-10,67.0,SEX OFFENSE,9.0,66.0,1
4400,2010-01-11,19.0,SEX OFFENSE,21.0,70.0,1
4738,2010-01-11,74.0,SEX OFFENSE,21.0,30.0,1
4889,2010-01-12,25.0,SEX OFFENSE,26.0,10.0,1
4959,2010-01-12,35.0,SEX OFFENSE,26.0,82.0,1
4997,2010-01-12,40.0,SEX OFFENSE,26.0,60.0,1
5358,2010-01-13,29.0,SEX OFFENSE,27.0,15.0,1
5393,2010-01-13,33.0,SEX OFFENSE,27.0,76.0,1
5545,2010-01-13,60.0,SEX OFFENSE,27.0,69.0,1
5806,2010-01-14,25.0,SEX OFFENSE,36.0,10.0,1
6201,2010-01-15,9.0,SEX OFFENSE,30.0,58.0,1
6252,2010-01-15,19.0,SEX OFFENSE,30.0,70.0,1
6383,2010-01-15,33.0,SEX OFFENSE,30.0,76.0,1
6676,2010-01-16,8.0,SEX OFFENSE,25.0,14.0,1
7772,2010-01-18,40.0,SEX OFFENSE,29.0,60.0,1
7885,2010-01-18,65.0,SEX OFFENSE,29.0,89.0,1
8272,2010-01-19,55.0,SEX OFFENSE,33.0,84.0,1
8789,2010-01-20,64.0,SEX OFFENSE,29.0,80.0,1
8820,2010-01-20,67.0,SEX OFFENSE,29.0,66.0,1
8889,2010-01-21,6.0,SEX OFFENSE,33.0,17.0,1
9235,2010-01-21,64.0,SEX OFFENSE,33.0,80.0,1
9292,2010-01-21,70.0,SEX OFFENSE,33.0,74.0,1
9555,2010-01-22,37.0,SEX OFFENSE,34.0,1.0,1
10334,2010-01-24,22.0,SEX OFFENSE,38.0,42.0,1
10345,2010-01-24,23.0,SEX OFFENSE,38.0,23.0,1
10375,2010-01-24,26.0,SEX OFFENSE,38.0,73.0,1
10415,2010-01-24,31.0,SEX OFFENSE,38.0,20.0,1
10431,2010-01-24,33.0,SEX OFFENSE,38.0,76.0,1
10604,2010-01-24,68.0,SEX OFFENSE,38.0,2.0,1
10620,2010-01-24,70.0,SEX OFFENSE,38.0,74.0,1
10670,2010-01-25,7.0,SEX OFFENSE,26.0,88.0,1
10901,2010-01-25,42.0,SEX OFFENSE,26.0,75.0,1
11667,2010-01-27,28.0,SEX OFFENSE,16.0,83.0,1
11763,2010-01-27,44.0,SEX OFFENSE,16.0,41.0,1
11779,2010-01-27,47.0,SEX OFFENSE,16.0,51.0,1
12065,2010-01-28,23.0,SEX OFFENSE,12.0,23.0,1
12170,2010-01-28,38.0,SEX OFFENSE,12.0,3.0,1
12258,2010-01-28,57.0,SEX OFFENSE,12.0,5.0,1
12380,2010-01-28,76.0,SEX OFFENSE,12.0,19.0,1
12528,2010-01-29,26.0,SEX OFFENSE,13.0,73.0,1
12582,2010-01-29,32.0,SEX OFFENSE,13.0,96.0,1
12739,2010-01-29,65.0,SEX OFFENSE,13.0,89.0,1
12793,2010-01-29,72.0,SEX OFFENSE,13.0,48.0,1
12968,2010-01-30,29.0,SEX OFFENSE,22.0,15.0,1
13562,2010-01-31,59.0,SEX OFFENSE,22.0,91.0,1
13652,2010-01-31,76.0,SEX OFFENSE,22.0,19.0,1
13739,2010-02-01,16.0,SEX OFFENSE,22.0,34.0,1
13869,2010-02-01,32.0,SEX OFFENSE,22.0,96.0,1
13914,2010-02-01,40.0,SEX OFFENSE,22.0,60.0,1
14009,2010-02-01,59.0,SEX OFFENSE,22.0,91.0,1
14018,2010-02-01,61.0,SEX OFFENSE,22.0,93.0,1
14040,2010-02-01,64.0,SEX OFFENSE,22.0,80.0,1
