,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
269,2010-01-01,37.0,STALKING,11.0,1.0,1
813,2010-01-02,56.0,STALKING,7.0,61.0,1
2167,2010-01-05,68.0,STALKING,18.0,2.0,1
2485,2010-01-06,49.0,STALKING,15.0,64.0,1
2963,2010-01-07,61.0,STALKING,19.0,93.0,1
3472,2010-01-08,68.0,STALKING,19.0,2.0,1
4001,2010-01-10,20.0,STALKING,9.0,46.0,1
5259,2010-01-13,15.0,STALKING,27.0,35.0,1
5937,2010-01-14,40.0,STALKING,36.0,60.0,1
6736,2010-01-16,19.0,STALKING,25.0,70.0,1
8339,2010-01-19,65.0,STALKING,33.0,89.0,1
8663,2010-01-20,40.0,STALKING,29.0,60.0,1
9092,2010-01-21,38.0,STALKING,33.0,3.0,1
11825,2010-01-27,57.0,STALKING,16.0,5.0,1
12529,2010-01-29,26.0,STALKING,13.0,73.0,1
12854,2010-01-30,10.0,STALKING,22.0,39.0,1
13547,2010-01-31,57.0,STALKING,22.0,5.0,1
15591,2010-02-05,29.0,STALKING,33.0,15.0,1
15724,2010-02-05,50.0,STALKING,33.0,62.0,1
17472,2010-02-09,66.0,STALKING,26.0,94.0,1
18302,2010-02-11,64.0,STALKING,20.0,80.0,1
19621,2010-02-15,4.0,STALKING,17.0,57.0,1
19903,2010-02-15,53.0,STALKING,17.0,32.0,1
21101,2010-02-18,38.0,STALKING,32.0,3.0,1
21857,2010-02-20,15.0,STALKING,35.0,35.0,1
22226,2010-02-21,6.0,STALKING,35.0,17.0,1
22848,2010-02-22,48.0,STALKING,31.0,65.0,1
24691,2010-02-26,66.0,STALKING,24.0,94.0,1
25374,2010-02-28,37.0,STALKING,35.0,1.0,1
27709,2010-03-05,47.0,STALKING,31.0,51.0,1
27965,2010-03-06,20.0,STALKING,33.0,46.0,1
29403,2010-03-09,37.0,STALKING,42.0,1.0,1
30574,2010-03-11,66.0,STALKING,52.0,94.0,1
31800,2010-03-14,45.0,STALKING,45.0,52.0,1
32204,2010-03-15,37.0,STALKING,44.0,1.0,1
32474,2010-03-16,6.0,STALKING,48.0,17.0,1
34164,2010-03-19,40.0,STALKING,52.0,60.0,1
35884,2010-03-23,35.0,STALKING,44.0,82.0,1
36102,2010-03-23,70.0,STALKING,44.0,74.0,1
40154,2010-04-01,57.0,STALKING,69.0,5.0,1
41040,2010-04-03,51.0,STALKING,54.0,98.0,1
42740,2010-04-07,34.0,STALKING,43.0,7.0,1
43942,2010-04-10,9.0,STALKING,56.0,58.0,1
44112,2010-04-10,32.0,STALKING,56.0,96.0,1
44748,2010-04-11,67.0,STALKING,54.0,66.0,1
45447,2010-04-13,28.0,STALKING,56.0,83.0,1
45871,2010-04-14,24.0,STALKING,63.0,85.0,1
46916,2010-04-16,25.0,STALKING,54.0,10.0,2
47438,2010-04-17,31.0,STALKING,48.0,20.0,1
47858,2010-04-18,27.0,STALKING,44.0,92.0,1
48195,2010-04-19,13.0,STALKING,46.0,33.0,1
48380,2010-04-19,39.0,STALKING,46.0,55.0,1
49499,2010-04-21,70.0,STALKING,52.0,74.0,1
49809,2010-04-22,44.0,STALKING,49.0,38.0,1
51566,2010-04-26,34.0,STALKING,55.0,82.0,1
52997,2010-04-29,40.0,STALKING,63.0,60.0,1
53415,2010-04-30,32.0,STALKING,72.0,96.0,1
53525,2010-04-30,52.0,STALKING,72.0,44.0,1
54362,2010-05-02,35.0,STALKING,61.0,82.0,1
54662,2010-05-03,14.0,STALKING,61.0,53.0,1
57250,2010-05-08,39.0,STALKING,46.0,55.0,1
58020,2010-05-10,22.0,STALKING,50.0,42.0,1
58722,2010-05-11,59.0,STALKING,48.0,91.0,1
60666,2010-05-15,57.0,STALKING,52.0,5.0,1
60928,2010-05-16,25.0,STALKING,54.0,10.0,1
61490,2010-05-17,41.0,STALKING,54.0,41.0,1
61573,2010-05-17,57.0,STALKING,54.0,5.0,1
62094,2010-05-18,64.0,STALKING,56.0,80.0,1
62419,2010-05-19,37.0,STALKING,59.0,1.0,1
62538,2010-05-19,57.0,STALKING,59.0,5.0,1
63030,2010-05-20,59.0,STALKING,61.0,91.0,1
63883,2010-05-22,39.0,STALKING,66.0,55.0,1
66468,2010-05-28,1.0,STALKING,68.0,47.0,1
66487,2010-05-28,6.0,STALKING,68.0,17.0,1
66625,2010-05-28,26.0,STALKING,68.0,73.0,1
68256,2010-06-01,1.0,STALKING,74.0,47.0,1
68351,2010-06-01,17.0,STALKING,74.0,28.0,1
68553,2010-06-01,42.0,STALKING,74.0,75.0,1
69460,2010-06-03,30.0,STALKING,64.0,87.0,1
69529,2010-06-03,40.0,STALKING,64.0,60.0,1
72257,2010-06-09,28.0,STALKING,74.0,83.0,1
73392,2010-06-11,53.0,STALKING,77.0,32.0,1
75168,2010-06-15,40.0,STALKING,70.0,60.0,1
75503,2010-06-16,22.0,STALKING,73.0,42.0,1
75576,2010-06-16,29.0,STALKING,73.0,15.0,1
76277,2010-06-17,71.0,STALKING,74.0,12.0,1
77609,2010-06-20,69.0,STALKING,73.0,37.0,1
78579,2010-06-22,75.0,STALKING,77.0,24.0,1
78596,2010-06-23,3.0,STALKING,78.0,97.0,1
79030,2010-06-23,74.0,STALKING,78.0,30.0,1
79771,2010-06-25,38.0,STALKING,73.0,3.0,1
79896,2010-06-25,60.0,STALKING,73.0,69.0,1
80043,2010-06-26,9.0,STALKING,78.0,58.0,1
80822,2010-06-27,56.0,STALKING,79.0,61.0,1
81572,2010-06-29,24.0,STALKING,67.0,85.0,1
82076,2010-06-30,26.0,STALKING,66.0,73.0,1
82557,2010-07-01,25.0,STALKING,66.0,10.0,1
82697,2010-07-01,40.0,STALKING,66.0,60.0,1
82889,2010-07-01,70.0,STALKING,66.0,74.0,1
84422,2010-07-05,26.0,STALKING,85.0,73.0,1
84714,2010-07-05,74.0,STALKING,85.0,30.0,1
85551,2010-07-07,57.0,STALKING,82.0,5.0,1
88237,2010-07-13,37.0,STALKING,77.0,1.0,1
91031,2010-07-19,32.0,STALKING,77.0,96.0,1
92473,2010-07-22,34.0,STALKING,80.0,7.0,1
