,date,Community Areas,Primary Type,Temp_avg,HARDSHIP INDEX,incidents
25,2010-01-01,6.0,WEAPONS VIOLATION,11.0,17.0,1
53,2010-01-01,9.0,WEAPONS VIOLATION,11.0,58.0,1
87,2010-01-01,15.0,WEAPONS VIOLATION,11.0,34.0,1
114,2010-01-01,19.0,WEAPONS VIOLATION,11.0,70.0,1
126,2010-01-01,21.0,WEAPONS VIOLATION,11.0,71.0,2
161,2010-01-01,24.0,WEAPONS VIOLATION,11.0,85.0,2
187,2010-01-01,26.0,WEAPONS VIOLATION,11.0,73.0,4
196,2010-01-01,27.0,WEAPONS VIOLATION,11.0,92.0,2
231,2010-01-01,30.0,WEAPONS VIOLATION,11.0,87.0,1
318,2010-01-01,42.0,WEAPONS VIOLATION,11.0,75.0,2
337,2010-01-01,45.0,WEAPONS VIOLATION,11.0,52.0,1
369,2010-01-01,50.0,WEAPONS VIOLATION,11.0,62.0,1
374,2010-01-01,51.0,WEAPONS VIOLATION,11.0,98.0,1
395,2010-01-01,55.0,WEAPONS VIOLATION,11.0,84.0,3
428,2010-01-01,59.0,WEAPONS VIOLATION,11.0,91.0,2
463,2010-01-01,64.0,WEAPONS VIOLATION,11.0,80.0,2
474,2010-01-01,65.0,WEAPONS VIOLATION,11.0,89.0,3
487,2010-01-01,66.0,WEAPONS VIOLATION,11.0,94.0,2
503,2010-01-01,67.0,WEAPONS VIOLATION,11.0,66.0,1
514,2010-01-01,69.0,WEAPONS VIOLATION,11.0,37.0,1
528,2010-01-01,70.0,WEAPONS VIOLATION,11.0,74.0,3
576,2010-01-02,3.0,WEAPONS VIOLATION,7.0,97.0,1
641,2010-01-02,22.0,WEAPONS VIOLATION,7.0,42.0,1
678,2010-01-02,26.0,WEAPONS VIOLATION,7.0,73.0,2
815,2010-01-02,56.0,WEAPONS VIOLATION,7.0,61.0,1
873,2010-01-02,65.0,WEAPONS VIOLATION,7.0,89.0,2
885,2010-01-02,66.0,WEAPONS VIOLATION,7.0,94.0,3
917,2010-01-02,70.0,WEAPONS VIOLATION,7.0,74.0,1
934,2010-01-02,75.0,WEAPONS VIOLATION,7.0,24.0,1
1014,2010-01-03,20.0,WEAPONS VIOLATION,9.0,46.0,1
1076,2010-01-03,28.0,WEAPONS VIOLATION,9.0,83.0,1
1161,2010-01-03,42.0,WEAPONS VIOLATION,9.0,75.0,1
1200,2010-01-03,50.0,WEAPONS VIOLATION,9.0,62.0,1
1285,2010-01-03,66.0,WEAPONS VIOLATION,9.0,94.0,2
1315,2010-01-03,70.0,WEAPONS VIOLATION,9.0,74.0,1
1441,2010-01-04,21.0,WEAPONS VIOLATION,13.0,71.0,1
1467,2010-01-04,24.0,WEAPONS VIOLATION,13.0,85.0,1
1489,2010-01-04,26.0,WEAPONS VIOLATION,13.0,73.0,1
1495,2010-01-04,27.0,WEAPONS VIOLATION,13.0,92.0,1
1526,2010-01-04,31.0,WEAPONS VIOLATION,13.0,20.0,1
1535,2010-01-04,32.0,WEAPONS VIOLATION,13.0,96.0,1
1680,2010-01-04,62.0,WEAPONS VIOLATION,13.0,29.0,1
1720,2010-01-04,66.0,WEAPONS VIOLATION,13.0,94.0,2
1752,2010-01-04,72.0,WEAPONS VIOLATION,13.0,48.0,1
1818,2010-01-05,10.0,WEAPONS VIOLATION,18.0,39.0,1
1830,2010-01-05,14.0,WEAPONS VIOLATION,18.0,53.0,1
1901,2010-01-05,24.0,WEAPONS VIOLATION,18.0,85.0,2
